wiki_language_code,target_word,translation_id,word_id,translation
pl,agony,t1,w1,agonia
ru,agony,t1,w1,агония
sv,agony,t1,w1,vånda
tr,agony,t1,w1,ızdırap
zu,agony,t1,w1,ubuhlungu
he,agony,t1,w1,יסורים
hr,agony,t1,w1,agonija
ro,agony,t1,w1,agonie
el,agony,t1,w1,αγωνία
th,agony,t1,w1,ความทุกข์ทรมาน
vi,agony,t1,w1,đau
ga,agony,t1,w1,agony
hu,agony,t1,w1,gyötrelem
hi,agony,t1,w1,व्यथा
ps,agony,t1,w1,ظلم
ar,ant,t1,w1,نملة
fa,ant,t1,w1,مورچه
de,ant,t1,w1,ameise
en,ant,t1,w1,ant
nl,ant,t1,w1,mier
pt,ant,t1,w1,formiga
zh,ant,t1,w1,蚂蚁
es,ant,t1,w1,hormiga
da,ant,t1,w1,myre
fi,ant,t1,w1,muurahainen
fr,ant,t1,w1,fourmi
id,ant,t1,w1,semut
it,ant,t1,w1,formica
ja,ant,t1,w1,蟻
ko,ant,t1,w1,개미
ms,ant,t1,w1,semut
no,ant,t1,w1,maur
tl,ant,t1,w1,ant
pl,ant,t1,w1,mrówka
ru,ant,t1,w1,муравей
sv,ant,t1,w1,myra
tr,ant,t1,w1,karınca
zu,ant,t1,w1,ant
he,ant,t1,w1,נְמָלָה
hr,ant,t1,w1,mrav
ro,ant,t1,w1,furnică
el,ant,t1,w1,μυρμήγκι
th,ant,t1,w1,มด
vi,ant,t1,w1,kiến
ga,ant,t1,w1,frith
hu,ant,t1,w1,hangya
hi,ant,t1,w1,चींटी
ps,ant,t1,w1,انټرنټ
ar,arrow,t1,w1,سهم
fa,arrow,t1,w1,فلش
de,arrow,t1,w1,pfeil
en,arrow,t1,w1,arrow
nl,arrow,t1,w1,pijl
pt,arrow,t1,w1,flecha
zh,arrow,t1,w1,箭头
es,arrow,t1,w1,flecha
da,arrow,t1,w1,pil
fi,arrow,t1,w1,nuoli
fr,arrow,t1,w1,flèche
id,arrow,t1,w1,panah
it,arrow,t1,w1,freccia
ja,arrow,t1,w1,arrow
ko,arrow,t1,w1,화살
ms,arrow,t1,w1,anak
no,arrow,t1,w1,pil
tl,arrow,t1,w1,arrow
pl,arrow,t1,w1,strzałka
ru,arrow,t1,w1,стрела
sv,arrow,t1,w1,pil
tr,arrow,t1,w1,ok
zu,arrow,t1,w1,umcibisholo
he,arrow,t1,w1,חֵץ
hr,arrow,t1,w1,strijela
ro,arrow,t1,w1,săgeată
el,arrow,t1,w1,βέλος
th,arrow,t1,w1,ลูกศร
vi,arrow,t1,w1,mũi
ga,arrow,t1,w1,saighead
hu,arrow,t1,w1,nyíl
hi,arrow,t1,w1,तीर
ps,arrow,t1,w1,تیر
ar,assault,t1,w1,الاعتداءات
fa,assault,t1,w1,حمله
de,assault,t1,w1,angriff
en,assault,t1,w1,assault
nl,assault,t1,w1,aanval
pt,assault,t1,w1,assalto
zh,assault,t1,w1,突击
es,assault,t1,w1,asalto
da,assault,t1,w1,angreb
fi,assault,t1,w1,hyökkäys
fr,assault,t1,w1,agression
id,assault,t1,w1,serangan
it,assault,t1,w1,assalto
ja,assault,t1,w1,暴行
ko,assault,t1,w1,폭행
ms,assault,t1,w1,serangan
no,assault,t1,w1,overfall
tl,assault,t1,w1,pag-atake
pl,assault,t1,w1,atak
ru,assault,t1,w1,нападение
sv,assault,t1,w1,överfall
tr,assault,t1,w1,saldırı
zu,assault,t1,w1,ukushaya
he,assault,t1,w1,תקיפה
hr,assault,t1,w1,napad
ro,assault,t1,w1,asalt
el,assault,t1,w1,προσβολή
th,assault,t1,w1,โจมตี
vi,assault,t1,w1,tấn
ga,assault,t1,w1,ionsaí
hu,assault,t1,w1,támadás
hi,assault,t1,w1,हमला
ps,assault,t1,w1,حمله
ar,aster,t1,w1,الأسطر
fa,aster,t1,w1,ستاره
de,aster,t1,w1,aster
en,aster,t1,w1,aster
nl,aster,t1,w1,aster
pt,aster,t1,w1,áster
zh,aster,t1,w1,翠菊
es,aster,t1,w1,aster
da,aster,t1,w1,aster
fi,aster,t1,w1,asteri
fr,aster,t1,w1,aster
id,aster,t1,w1,aster
it,aster,t1,w1,astro
ja,aster,t1,w1,アスター
ko,aster,t1,w1,과
ms,aster,t1,w1,aster
no,aster,t1,w1,aster
tl,aster,t1,w1,aster
pl,aster,t1,w1,aster
ru,aster,t1,w1,астра
sv,aster,t1,w1,aster
tr,aster,t1,w1,dalya
zu,aster,t1,w1,i-aster
he,aster,t1,w1,אַסתֵר
hr,aster,t1,w1,astra
ro,aster,t1,w1,aster
el,aster,t1,w1,αστήρ
th,aster,t1,w1,ดอกแอสเตอร์
vi,aster,t1,w1,aster
ga,aster,t1,w1,aster
hu,aster,t1,w1,őszirózsa
hi,aster,t1,w1,aster
ps,aster,t1,w1,اسټر
ar,axe,t1,w1,فأس
fa,axe,t1,w1,تبر
de,axe,t1,w1,axt
en,axe,t1,w1,axe
nl,axe,t1,w1,bijl
pt,axe,t1,w1,machado
zh,axe,t1,w1,斧头
es,axe,t1,w1,hacha
da,axe,t1,w1,økse
fi,axe,t1,w1,kirves
fr,axe,t1,w1,hache
id,axe,t1,w1,kapak
it,axe,t1,w1,ascia
ja,axe,t1,w1,斧
ko,axe,t1,w1,도끼
ms,axe,t1,w1,kapak
no,axe,t1,w1,øks
tl,axe,t1,w1,palakol
pl,axe,t1,w1,topór
ru,axe,t1,w1,топор
sv,axe,t1,w1,yxa
tr,axe,t1,w1,balta
zu,axe,t1,w1,imbazo
he,axe,t1,w1,גַרזֶן
hr,axe,t1,w1,sjekira
ro,axe,t1,w1,topor
el,axe,t1,w1,τσεκούρι
th,axe,t1,w1,ขวาน
vi,axe,t1,w1,rìu
ga,axe,t1,w1,tua
hu,axe,t1,w1,fejsze
hi,axe,t1,w1,कुल्हाड़ी
ps,axe,t1,w1,محور
ar,azalea,t1,w1,أزلية
fa,azalea,t1,w1,آزالیا
de,azalea,t1,w1,azalee
en,azalea,t1,w1,azalea
nl,azalea,t1,w1,azalea
pt,azalea,t1,w1,azaléia
zh,azalea,t1,w1,映山红
es,azalea,t1,w1,azalea
da,azalea,t1,w1,azalea
fi,azalea,t1,w1,atsalea
fr,azalea,t1,w1,azalée
id,azalea,t1,w1,azalea
it,azalea,t1,w1,azalea
ja,azalea,t1,w1,つつじ
ko,azalea,t1,w1,진달래
ms,azalea,t1,w1,azalea
no,azalea,t1,w1,azalea
tl,azalea,t1,w1,azalea
pl,azalea,t1,w1,azalia
ru,azalea,t1,w1,азалия
sv,azalea,t1,w1,azalea
tr,azalea,t1,w1,açelya
zu,azalea,t1,w1,azalea
he,azalea,t1,w1,אזליה
hr,azalea,t1,w1,azaleja
ro,azalea,t1,w1,azalee
el,azalea,t1,w1,αζάλεα
th,azalea,t1,w1,ชวนชม
vi,azalea,t1,w1,cây
ga,azalea,t1,w1,azalea
hu,azalea,t1,w1,azálea
hi,azalea,t1,w1,azalea
ps,azalea,t1,w1,azalea
ar,bagpipe,t1,w1,مزمار
fa,bagpipe,t1,w1,غلیظ
de,bagpipe,t1,w1,dudelsack
en,bagpipe,t1,w1,bagpipe
nl,bagpipe,t1,w1,doedelzak
pt,bagpipe,t1,w1,bagpipe
zh,bagpipe,t1,w1,风笛
es,bagpipe,t1,w1,cornamusa
da,bagpipe,t1,w1,sækkepibe
fi,bagpipe,t1,w1,säkkipilli
fr,bagpipe,t1,w1,cornemuse
id,bagpipe,t1,w1,bagpipe
it,bagpipe,t1,w1,cornamusa
ja,bagpipe,t1,w1,バグパイプ
ko,bagpipe,t1,w1,풍적
ms,bagpipe,t1,w1,bagpipe
no,bagpipe,t1,w1,sekkepipe
tl,bagpipe,t1,w1,bagpipe
pl,bagpipe,t1,w1,dudy
ru,bagpipe,t1,w1,волынка
sv,bagpipe,t1,w1,bagpipe
tr,bagpipe,t1,w1,gayda
zu,bagpipe,t1,w1,i-bagpipe
he,bagpipe,t1,w1,חֵמַת
hr,bagpipe,t1,w1,gajde
ro,bagpipe,t1,w1,cimpoi
el,bagpipe,t1,w1,γκάιντα
th,bagpipe,t1,w1,ปี่สก็อต
vi,bagpipe,t1,w1,túi
ga,bagpipe,t1,w1,píopa
hu,bagpipe,t1,w1,duda
hi,bagpipe,t1,w1,मशक
ps,bagpipe,t1,w1,بکسپپ
ar,banjo,t1,w1,البانجو
fa,banjo,t1,w1,بانجو
de,banjo,t1,w1,banjo
en,banjo,t1,w1,banjo
nl,banjo,t1,w1,banjo
pt,banjo,t1,w1,banjo
zh,banjo,t1,w1,班卓琴
es,banjo,t1,w1,banjo
da,banjo,t1,w1,banjo
fi,banjo,t1,w1,banjo
fr,banjo,t1,w1,banjo
id,banjo,t1,w1,banjo
it,banjo,t1,w1,bangio
ja,banjo,t1,w1,バンジョー
ko,banjo,t1,w1,밴조
ms,banjo,t1,w1,banjo
no,banjo,t1,w1,banjo
tl,banjo,t1,w1,banjo
pl,banjo,t1,w1,banjo
ru,banjo,t1,w1,банджо
sv,banjo,t1,w1,banjo
tr,banjo,t1,w1,banço
zu,banjo,t1,w1,banjo
he,banjo,t1,w1,בַּנג'וֹ
hr,banjo,t1,w1,bendžo
ro,banjo,t1,w1,banjo
el,banjo,t1,w1,ταμπουράς
th,banjo,t1,w1,แบนโจ
vi,banjo,t1,w1,banjo
ga,banjo,t1,w1,banjo
hu,banjo,t1,w1,bendzsó
hi,banjo,t1,w1,बैंजो
ps,banjo,t1,w1,بانجو
ar,bassoon,t1,w1,الباسون
fa,bassoon,t1,w1,باسن
de,bassoon,t1,w1,fagott
en,bassoon,t1,w1,bassoon
nl,bassoon,t1,w1,fagot
pt,bassoon,t1,w1,fagote
zh,bassoon,t1,w1,巴松管
es,bassoon,t1,w1,fagot
da,bassoon,t1,w1,fagot
fi,bassoon,t1,w1,fagotti
fr,bassoon,t1,w1,basson
id,bassoon,t1,w1,bassoon
it,bassoon,t1,w1,fagotto
ja,bassoon,t1,w1,ファゴット
ko,bassoon,t1,w1,바순
ms,bassoon,t1,w1,bassoon
no,bassoon,t1,w1,fagott
tl,bassoon,t1,w1,bassoon
pl,bassoon,t1,w1,fagot
ru,bassoon,t1,w1,фагот
sv,bassoon,t1,w1,fagott
tr,bassoon,t1,w1,fagot
zu,bassoon,t1,w1,i-bassoon
he,bassoon,t1,w1,בַּסוֹן
hr,bassoon,t1,w1,fagot
ro,bassoon,t1,w1,fagot
el,bassoon,t1,w1,φαγκότο
th,bassoon,t1,w1,ปี่ทุ้ม
vi,bassoon,t1,w1,nấm
ga,bassoon,t1,w1,bassoon
hu,bassoon,t1,w1,fagott
hi,bassoon,t1,w1,अलगोजा
ps,bassoon,t1,w1,بسم
ar,bedbug,t1,w1,حشرة
fa,bedbug,t1,w1,ساس
de,bedbug,t1,w1,bettwanze
en,bedbug,t1,w1,bedbug
nl,bedbug,t1,w1,bedwants
pt,bedbug,t1,w1,percevejo
zh,bedbug,t1,w1,臭虫
es,bedbug,t1,w1,ácaro
da,bedbug,t1,w1,sengelus
fi,bedbug,t1,w1,lude
fr,bedbug,t1,w1,punaise
id,bedbug,t1,w1,kepinding
it,bedbug,t1,w1,cimice
ja,bedbug,t1,w1,ナンキンムシ
ko,bedbug,t1,w1,빈대
ms,bedbug,t1,w1,pepijat
no,bedbug,t1,w1,veggedyr
tl,bedbug,t1,w1,bedbug
pl,bedbug,t1,w1,pluskwa
ru,bedbug,t1,w1,постельный
sv,bedbug,t1,w1,vägglus
tr,bedbug,t1,w1,tahta
zu,bedbug,t1,w1,i-bedbug
he,bedbug,t1,w1,פִּשׁפֵּשׁ
hr,bedbug,t1,w1,stjenica
ro,bedbug,t1,w1,ploşniţă
el,bedbug,t1,w1,κοριός
th,bedbug,t1,w1,ตัวเรือด
vi,bedbug,t1,w1,rệp
ga,bedbug,t1,w1,bedbug
hu,bedbug,t1,w1,ágyi
hi,bedbug,t1,w1,खटमल
ps,bedbug,t1,w1,کټمله
ar,bee,t1,w1,نحلة
fa,bee,t1,w1,زنبور
de,bee,t1,w1,biene
en,bee,t1,w1,bee
nl,bee,t1,w1,bij
pt,bee,t1,w1,abelha
zh,bee,t1,w1,蜜蜂
es,bee,t1,w1,abeja
da,bee,t1,w1,bi
fi,bee,t1,w1,mehiläinen
fr,bee,t1,w1,abeille
id,bee,t1,w1,lebah
it,bee,t1,w1,ape
ja,bee,t1,w1,蜂
ko,bee,t1,w1,벌
ms,bee,t1,w1,lebah
no,bee,t1,w1,bie
tl,bee,t1,w1,pukyutan
pl,bee,t1,w1,pszczoła
ru,bee,t1,w1,пчела
sv,bee,t1,w1,bi
tr,bee,t1,w1,bal
zu,bee,t1,w1,izinyosi
he,bee,t1,w1,דבורה
hr,bee,t1,w1,pčela
ro,bee,t1,w1,albină
el,bee,t1,w1,μέλισσα
th,bee,t1,w1,ผึ้ง
vi,bee,t1,w1,con
ga,bee,t1,w1,beacha
hu,bee,t1,w1,méh
hi,bee,t1,w1,मधुमक्खी
ps,bee,t1,w1,مک
ar,beetle,t1,w1,خنفساء
fa,beetle,t1,w1,سوسک
de,beetle,t1,w1,käfer
en,beetle,t1,w1,beetle
nl,beetle,t1,w1,kever
pt,beetle,t1,w1,besouro
zh,beetle,t1,w1,甲虫
es,beetle,t1,w1,escarabajo
da,beetle,t1,w1,bille
fi,beetle,t1,w1,kuoriainen
fr,beetle,t1,w1,scarabée
id,beetle,t1,w1,kumbang
it,beetle,t1,w1,scarafaggio
ja,beetle,t1,w1,甲虫
ko,beetle,t1,w1,갑충
ms,beetle,t1,w1,kumbang
no,beetle,t1,w1,bille
tl,beetle,t1,w1,salaginto
pl,beetle,t1,w1,chrząszcz
ru,beetle,t1,w1,жук
sv,beetle,t1,w1,skalbagge
tr,beetle,t1,w1,böcek
zu,beetle,t1,w1,ibhungane
he,beetle,t1,w1,חיפושית
hr,beetle,t1,w1,buba
ro,beetle,t1,w1,gândac
el,beetle,t1,w1,σκαθάρι
th,beetle,t1,w1,ด้วง
vi,beetle,t1,w1,bọ
ga,beetle,t1,w1,ciaróg
hu,beetle,t1,w1,bogár
hi,beetle,t1,w1,भृंग
ps,beetle,t1,w1,بیټ
ar,bell,t1,w1,جرس
fa,bell,t1,w1,زنگ
de,bell,t1,w1,glocke
en,bell,t1,w1,bell
nl,bell,t1,w1,klok
pt,bell,t1,w1,sino
zh,bell,t1,w1,钟
es,bell,t1,w1,campana
da,bell,t1,w1,klokke
fi,bell,t1,w1,soittokello
fr,bell,t1,w1,cloche
id,bell,t1,w1,bel
it,bell,t1,w1,campana
ja,bell,t1,w1,ベル
ko,bell,t1,w1,벨
ms,bell,t1,w1,loceng
no,bell,t1,w1,klokke
tl,bell,t1,w1,kampanilya
pl,bell,t1,w1,dzwon
ru,bell,t1,w1,колокол
sv,bell,t1,w1,klocka
tr,bell,t1,w1,çan
zu,bell,t1,w1,bell
he,bell,t1,w1,פַּעֲמוֹן
hr,bell,t1,w1,zvono
ro,bell,t1,w1,clopot
el,bell,t1,w1,κουδούνι
th,bell,t1,w1,กระดิ่ง
vi,bell,t1,w1,chuông
ga,bell,t1,w1,clog
hu,bell,t1,w1,harang
hi,bell,t1,w1,घंटी
ps,bell,t1,w1,بیل
ar,blackfly,t1,w1,ذبابة
fa,blackfly,t1,w1,blackfly
de,blackfly,t1,w1,schwarze
en,blackfly,t1,w1,blackfly
nl,blackfly,t1,w1,zwarte
pt,blackfly,t1,w1,mosca
zh,blackfly,t1,w1,蚋
es,blackfly,t1,w1,mosca
da,blackfly,t1,w1,blackfly
fi,blackfly,t1,w1,blackfly
fr,blackfly,t1,w1,mouche
id,blackfly,t1,w1,blackfly
it,blackfly,t1,w1,blackfly
ja,blackfly,t1,w1,ブラックフライ
ko,blackfly,t1,w1,방울뱀
ms,blackfly,t1,w1,blackfly
no,blackfly,t1,w1,blackfly
tl,blackfly,t1,w1,blackfly
pl,blackfly,t1,w1,czarna
ru,blackfly,t1,w1,тля
sv,blackfly,t1,w1,svart
tr,blackfly,t1,w1,blackfly
zu,blackfly,t1,w1,i-blackfly
he,blackfly,t1,w1,זבוב
hr,blackfly,t1,w1,blackfly
ro,blackfly,t1,w1,muscă
el,blackfly,t1,w1,blackfly
th,blackfly,t1,w1,blackfly
vi,blackfly,t1,w1,blackfly
ga,blackfly,t1,w1,blackfly
hu,blackfly,t1,w1,levéltetű
hi,blackfly,t1,w1,काली
ps,blackfly,t1,w1,تور
ar,blade,t1,w1,شفرة
fa,blade,t1,w1,تیغه
de,blade,t1,w1,klinge
en,blade,t1,w1,blade
nl,blade,t1,w1,blad
pt,blade,t1,w1,lâmina
zh,blade,t1,w1,刀
es,blade,t1,w1,espada
da,blade,t1,w1,klinge
fi,blade,t1,w1,terä
fr,blade,t1,w1,lame
id,blade,t1,w1,pedang
it,blade,t1,w1,lama
ja,blade,t1,w1,刃
ko,blade,t1,w1,잎
ms,blade,t1,w1,bilah
no,blade,t1,w1,blad
tl,blade,t1,w1,talim
pl,blade,t1,w1,nóż
ru,blade,t1,w1,лопасть
sv,blade,t1,w1,blad
tr,blade,t1,w1,bıçak
zu,blade,t1,w1,i-blade
he,blade,t1,w1,להב
hr,blade,t1,w1,oštrica
ro,blade,t1,w1,lamă
el,blade,t1,w1,λεπίδα
th,blade,t1,w1,ใบมีด
vi,blade,t1,w1,lưỡi
ga,blade,t1,w1,lann
hu,blade,t1,w1,penge
hi,blade,t1,w1,ब्लेड
ps,blade,t1,w1,بڼ
ar,bluebell,t1,w1,الجريس
fa,bluebell,t1,w1,bluebell
de,bluebell,t1,w1,glockenblume
en,bluebell,t1,w1,bluebell
nl,bluebell,t1,w1,klokje
pt,bluebell,t1,w1,bluebell
zh,bluebell,t1,w1,风信子
es,bluebell,t1,w1,campanilla
da,bluebell,t1,w1,honningurt
fi,bluebell,t1,w1,sinikello
fr,bluebell,t1,w1,jacinthe
id,bluebell,t1,w1,bluebell
it,bluebell,t1,w1,campanula
ja,bluebell,t1,w1,ブルーベル
ko,bluebell,t1,w1,블루
ms,bluebell,t1,w1,bluebell
no,bluebell,t1,w1,blåklokke
tl,bluebell,t1,w1,bluebell
pl,bluebell,t1,w1,dzwonek
ru,bluebell,t1,w1,колокольчик
sv,bluebell,t1,w1,blåklocka
tr,bluebell,t1,w1,çançiçeği
zu,bluebell,t1,w1,bluebell
he,bluebell,t1,w1,פעמון
hr,bluebell,t1,w1,zvončić
ro,bluebell,t1,w1,clopoţei
el,bluebell,t1,w1,καμπανούλα
th,bluebell,t1,w1,ดอกไม้ชนิดหนึ่ง
vi,bluebell,t1,w1,chuông
ga,bluebell,t1,w1,bluebell
hu,bluebell,t1,w1,harangvirág
hi,bluebell,t1,w1,घंटी
ps,bluebell,t1,w1,نیلبیل
ar,bomb,t1,w1,قنبلة
fa,bomb,t1,w1,بمب
de,bomb,t1,w1,bombe
en,bomb,t1,w1,bomb
nl,bomb,t1,w1,bom
pt,bomb,t1,w1,bombear
zh,bomb,t1,w1,炸弹
es,bomb,t1,w1,bomba
da,bomb,t1,w1,bombe
fi,bomb,t1,w1,pommi
fr,bomb,t1,w1,bombe
id,bomb,t1,w1,bom
it,bomb,t1,w1,bomba
ja,bomb,t1,w1,爆弾
ko,bomb,t1,w1,폭탄
ms,bomb,t1,w1,bom
no,bomb,t1,w1,bombe
tl,bomb,t1,w1,bomba
pl,bomb,t1,w1,bomba
ru,bomb,t1,w1,бомбить
sv,bomb,t1,w1,bomba
tr,bomb,t1,w1,bomba
zu,bomb,t1,w1,ibhomu
he,bomb,t1,w1,פְּצָצָה
hr,bomb,t1,w1,bomba
ro,bomb,t1,w1,bombă
el,bomb,t1,w1,βόμβα
th,bomb,t1,w1,วางระเบิด
vi,bomb,t1,w1,bom
ga,bomb,t1,w1,buama
hu,bomb,t1,w1,bomba
hi,bomb,t1,w1,बम
ps,bomb,t1,w1,بم
ar,bongo,t1,w1,بونغو
fa,bongo,t1,w1,بونگو
de,bongo,t1,w1,bongo
en,bongo,t1,w1,bongo
nl,bongo,t1,w1,bongo
pt,bongo,t1,w1,bongo
zh,bongo,t1,w1,邦戈
es,bongo,t1,w1,bongo
da,bongo,t1,w1,bongo
fi,bongo,t1,w1,bongo
fr,bongo,t1,w1,bongo
id,bongo,t1,w1,bongo
it,bongo,t1,w1,bongo
ja,bongo,t1,w1,ボンゴ
ko,bongo,t1,w1,봉고
ms,bongo,t1,w1,bongo
no,bongo,t1,w1,bongo
tl,bongo,t1,w1,bongo
pl,bongo,t1,w1,bongo
ru,bongo,t1,w1,бонго
sv,bongo,t1,w1,bongo
tr,bongo,t1,w1,bongo
zu,bongo,t1,w1,bongo
he,bongo,t1,w1,בונגו
hr,bongo,t1,w1,bongo
ro,bongo,t1,w1,bongo
el,bongo,t1,w1,bongo
th,bongo,t1,w1,กลอง
vi,bongo,t1,w1,bongo
ga,bongo,t1,w1,bongo
hu,bongo,t1,w1,bongo
hi,bongo,t1,w1,बोंगो
ps,bongo,t1,w1,بونګو
ar,buttercup,t1,w1,الحوذان
fa,buttercup,t1,w1,اماکن
de,buttercup,t1,w1,butterblume
en,buttercup,t1,w1,buttercup
nl,buttercup,t1,w1,boterbloem
pt,buttercup,t1,w1,retângulo
zh,buttercup,t1,w1,毛茛
es,buttercup,t1,w1,botón
da,buttercup,t1,w1,ranunkel
fi,buttercup,t1,w1,leinikki
fr,buttercup,t1,w1,renoncule
id,buttercup,t1,w1,cangkir
it,buttercup,t1,w1,ranuncolo
ja,buttercup,t1,w1,ミツバチ
ko,buttercup,t1,w1,미나리
ms,buttercup,t1,w1,buttercup
no,buttercup,t1,w1,buttercup
tl,buttercup,t1,w1,buttercup
pl,buttercup,t1,w1,jaskier
ru,buttercup,t1,w1,лютик
sv,buttercup,t1,w1,smörblomma
tr,buttercup,t1,w1,düğünçiçeği
zu,buttercup,t1,w1,buttercup
he,buttercup,t1,w1,נוּרִית
hr,buttercup,t1,w1,ljutić
ro,buttercup,t1,w1,piciorul-cocoșului
el,buttercup,t1,w1,βατράχιο
th,buttercup,t1,w1,ดาวเรือง
vi,buttercup,t1,w1,bơ
ga,buttercup,t1,w1,imithe
hu,buttercup,t1,w1,boglárka
hi,buttercup,t1,w1,बटरकप
ps,buttercup,t1,w1,مکتیک
ar,cancer,t1,w1,سرطان
fa,cancer,t1,w1,سرطان
de,cancer,t1,w1,krebs
en,cancer,t1,w1,cancer
nl,cancer,t1,w1,kanker
pt,cancer,t1,w1,câncer
zh,cancer,t1,w1,癌症
es,cancer,t1,w1,cáncer
da,cancer,t1,w1,kræft
fi,cancer,t1,w1,syöpä
fr,cancer,t1,w1,cancer
id,cancer,t1,w1,kanker
it,cancer,t1,w1,cancro
ja,cancer,t1,w1,癌
ko,cancer,t1,w1,암
ms,cancer,t1,w1,kanser
no,cancer,t1,w1,kreft
tl,cancer,t1,w1,kanser
pl,cancer,t1,w1,nowotwór
ru,cancer,t1,w1,рак
sv,cancer,t1,w1,cancer
tr,cancer,t1,w1,kanser
zu,cancer,t1,w1,umdlavuza
he,cancer,t1,w1,מחלת
hr,cancer,t1,w1,rak
ro,cancer,t1,w1,cancer
el,cancer,t1,w1,καρκίνος
th,cancer,t1,w1,โรคมะเร็ง
vi,cancer,t1,w1,ung
ga,cancer,t1,w1,ailse
hu,cancer,t1,w1,rák
hi,cancer,t1,w1,कैंसर
ps,cancer,t1,w1,سرطان
ar,cannon,t1,w1,مدفع
fa,cannon,t1,w1,توپ
de,cannon,t1,w1,kanone
en,cannon,t1,w1,cannon
nl,cannon,t1,w1,kanon
pt,cannon,t1,w1,canhão
zh,cannon,t1,w1,大炮
es,cannon,t1,w1,cañón
da,cannon,t1,w1,kanon
fi,cannon,t1,w1,tykki
fr,cannon,t1,w1,canon
id,cannon,t1,w1,meriam
it,cannon,t1,w1,cannone
ja,cannon,t1,w1,大砲
ko,cannon,t1,w1,대포
ms,cannon,t1,w1,meriam
no,cannon,t1,w1,kanon
tl,cannon,t1,w1,kanyon
pl,cannon,t1,w1,armata
ru,cannon,t1,w1,пушка
sv,cannon,t1,w1,kanon
tr,cannon,t1,w1,top
zu,cannon,t1,w1,i-cannon
he,cannon,t1,w1,תוֹתָח
hr,cannon,t1,w1,top
ro,cannon,t1,w1,tun
el,cannon,t1,w1,κανόνι
th,cannon,t1,w1,ปืนใหญ่
vi,cannon,t1,w1,pháo
ga,cannon,t1,w1,gunna
hu,cannon,t1,w1,ágyú
hi,cannon,t1,w1,तोप
ps,cannon,t1,w1,تپ
ar,caress,t1,w1,عناق
fa,caress,t1,w1,نوازش
de,caress,t1,w1,streicheln
en,caress,t1,w1,caress
nl,caress,t1,w1,strelen
pt,caress,t1,w1,carícia
zh,caress,t1,w1,抚摸
es,caress,t1,w1,caricia
da,caress,t1,w1,kærtegn
fi,caress,t1,w1,hyväillä
fr,caress,t1,w1,caresse
id,caress,t1,w1,membelai
it,caress,t1,w1,carezza
