language_name,target_word,translation_id,word_id,translation
ro,him,t1,w1,-l
tr,him,t1,w1,onu
ru,him,t1,w1,его
zh-cn,him,t1,w1,他
en,his,t1,w1,his
es,his,t1,w1,su
hi,his,t1,w1,उनके
ur,his,t1,w1,اس
fr,his,t1,w1,le
pt,his,t1,w1,dele
ml,his,t1,w1,അദ്ദേഹത്തിന്റെ
ta,his,t1,w1,அவரது
it,his,t1,w1,il
ar,his,t1,w1,له
el,his,t1,w1,του
de,his,t1,w1,seine
ro,his,t1,w1,a
tr,his,t1,w1,onun
ru,his,t1,w1,его
zh-cn,his,t1,w1,他的
en,male,t1,w1,male
es,male,t1,w1,masculino
hi,male,t1,w1,नर
ur,male,t1,w1,مرد
fr,male,t1,w1,mâle
pt,male,t1,w1,masculino
ml,male,t1,w1,ആൺ
ta,male,t1,w1,ஆண்
it,male,t1,w1,maschio
ar,male,t1,w1,الذكر
el,male,t1,w1,αρσενικός
de,male,t1,w1,männlich
ro,male,t1,w1,masculin
tr,male,t1,w1,erkek
ru,male,t1,w1,мужской
zh-cn,male,t1,w1,男
en,man,t1,w1,man
es,man,t1,w1,hombre
hi,man,t1,w1,आदमी
ur,man,t1,w1,آدمی
fr,man,t1,w1,homme
pt,man,t1,w1,homem
ml,man,t1,w1,മനുഷ്യൻ
ta,man,t1,w1,ஆண்
it,man,t1,w1,uomo
ar,man,t1,w1,رجل
el,man,t1,w1,άνδρας
de,man,t1,w1,mann
ro,man,t1,w1,om
tr,man,t1,w1,adam
ru,man,t1,w1,человек
zh-cn,man,t1,w1,人
en,she,t1,w1,she
es,she,t1,w1,ella
hi,she,t1,w1,वह
ur,she,t1,w1,وہ
fr,she,t1,w1,elle
pt,she,t1,w1,ela
ml,she,t1,w1,അവൾ
ta,she,t1,w1,அவள்
it,she,t1,w1,lei
ar,she,t1,w1,هي
el,she,t1,w1,αυτή
de,she,t1,w1,sie
ro,she,t1,w1,ea
tr,she,t1,w1,o
ru,she,t1,w1,она
zh-cn,she,t1,w1,她
en,very imaginative,t1,w1,very
es,very imaginative,t1,w1,muy
hi,very imaginative,t1,w1,बहुत
ur,very imaginative,t1,w1,بہت
fr,very imaginative,t1,w1,très
pt,very imaginative,t1,w1,muito
ml,very imaginative,t1,w1,വളരെ
ta,very imaginative,t1,w1,மிகவும்
it,very imaginative,t1,w1,molto
ar,very imaginative,t1,w1,خيال
el,very imaginative,t1,w1,πολύ
de,very imaginative,t1,w1,sehr
ro,very imaginative,t1,w1,foarte
tr,very imaginative,t1,w1,çok
ru,very imaginative,t1,w1,очень
zh-cn,very imaginative,t1,w1,非常富有想象力
en,very smart,t1,w1,very
es,very smart,t1,w1,muy
hi,very smart,t1,w1,बहुत
ur,very smart,t1,w1,بہت
fr,very smart,t1,w1,très
pt,very smart,t1,w1,muito
ml,very smart,t1,w1,വളരെ
ta,very smart,t1,w1,மிகவும்
it,very smart,t1,w1,molto
ar,very smart,t1,w1,ذكي
el,very smart,t1,w1,πανέξυπνος
de,very smart,t1,w1,sehr
ro,very smart,t1,w1,foarte
tr,very smart,t1,w1,çok
ru,very smart,t1,w1,очень
zh-cn,very smart,t1,w1,很聪明
en,woman,t1,w1,woman
es,woman,t1,w1,mujer
hi,woman,t1,w1,महिला
ur,woman,t1,w1,عورت
fr,woman,t1,w1,femme
pt,woman,t1,w1,mulher
ml,woman,t1,w1,സ്ത്രീ
ta,woman,t1,w1,பெண்
it,woman,t1,w1,donna
ar,woman,t1,w1,النساء
el,woman,t1,w1,γυναίκα
de,woman,t1,w1,frau
ro,woman,t1,w1,femeie
tr,woman,t1,w1,kadın
ru,woman,t1,w1,женщина
zh-cn,woman,t1,w1,女人
ta,brainy,t1,w2,மதியுடைய
ru,art,t1,w2,искусство
hi,create,t1,w2,करना
ru,female,t1,w2,пол
ur,her,t1,w2,کے
ro,her,t1,w2,ei
fr,hers,t1,w2,sienne
it,hers,t1,w2,sua
el,hers,t1,w2,της
ro,hers,t1,w2,ei
ur,him,t1,w2,کے
ur,his,t1,w2,کا
fr,his,t1,w2,sien
it,his,t1,w2,suo
ro,his,t1,w2,lui
en,very imaginative,t1,w2,imaginative
es,very imaginative,t1,w2,imaginativo
hi,very imaginative,t1,w2,कल्पनाशील
ur,very imaginative,t1,w2,تصوراتی
fr,very imaginative,t1,w2,imaginatif
pt,very imaginative,t1,w2,imaginativo
ml,very imaginative,t1,w2,ഭാവനയുമുണ്ട്
ta,very imaginative,t1,w2,கற்பனை
it,very imaginative,t1,w2,fantasioso
ar,very imaginative,t1,w2,جدا
el,very imaginative,t1,w2,φανταστικό
de,very imaginative,t1,w2,fantasievoll
ro,very imaginative,t1,w2,imaginativ
tr,very imaginative,t1,w2,yaratıcı
ru,very imaginative,t1,w2,творческий
en,very smart,t1,w2,smart
es,very smart,t1,w2,inteligente
hi,very smart,t1,w2,अकलमंद
ur,very smart,t1,w2,ہوشیار
fr,very smart,t1,w2,intelligent
pt,very smart,t1,w2,esperto
ml,very smart,t1,w2,മിടുക്കൻ
ta,very smart,t1,w2,புத்திசாலி
it,very smart,t1,w2,intelligente
ar,very smart,t1,w2,جدا
de,very smart,t1,w2,schlau
ro,very smart,t1,w2,deștept
tr,very smart,t1,w2,zeki
ru,very smart,t1,w2,умно
