country_name,measure,bin,n
Argentina,es_iat_sex_age_order_explicit_resid,-2.5,7
Argentina,es_iat_sex_age_order_explicit_resid,-1.75,11
Argentina,es_iat_sex_age_order_explicit_resid,-1.5,174
Argentina,es_iat_sex_age_order_explicit_resid,-0.75,8
Argentina,es_iat_sex_age_order_explicit_resid,-0.5,98
Argentina,es_iat_sex_age_order_explicit_resid,0.25,9
Argentina,es_iat_sex_age_order_explicit_resid,0.5,108
Argentina,es_iat_sex_age_order_explicit_resid,1.25,5
Argentina,es_iat_sex_age_order_explicit_resid,1.5,39
Argentina,es_iat_sex_age_order_explicit_resid,2.25,3
Argentina,es_iat_sex_age_order_explicit_resid,2.5,34
Argentina,es_iat_sex_age_order_explicit_resid,3.25,2
Argentina,es_iat_sex_age_order_explicit_resid,3.5,9
Argentina,es_iat_sex_age_order_explicit_resid,4.25,1
Argentina,es_iat_sex_age_order_explicit_resid,4.5,11
Argentina,es_iat_sex_age_order_explicit_resid,NA,7
Argentina,es_iat_sex_age_order_implicit_resid,-1.25,1
Argentina,es_iat_sex_age_order_implicit_resid,-1,5
Argentina,es_iat_sex_age_order_implicit_resid,-0.75,18
Argentina,es_iat_sex_age_order_implicit_resid,-0.5,60
Argentina,es_iat_sex_age_order_implicit_resid,-0.25,106
Argentina,es_iat_sex_age_order_implicit_resid,-0,144
Argentina,es_iat_sex_age_order_implicit_resid,0.25,132
Argentina,es_iat_sex_age_order_implicit_resid,0.5,45
Argentina,es_iat_sex_age_order_implicit_resid,0.75,19
Argentina,es_iat_sex_age_order_implicit_resid,1,1
Argentina,explicit_dif,-3,1
Argentina,explicit_dif,-2,3
Argentina,explicit_dif,-1,8
Argentina,explicit_dif,0,185
Argentina,explicit_dif,1,106
Argentina,explicit_dif,2,117
Argentina,explicit_dif,3,44
Argentina,explicit_dif,4,37
Argentina,explicit_dif,5,11
Argentina,explicit_dif,6,12
Argentina,explicit_dif,NA,7
Argentina,overall_iat_D_score,-0.75,5
Argentina,overall_iat_D_score,-0.5,7
Argentina,overall_iat_D_score,-0.25,34
Argentina,overall_iat_D_score,0,88
Argentina,overall_iat_D_score,0.25,121
Argentina,overall_iat_D_score,0.5,156
Argentina,overall_iat_D_score,0.75,80
Argentina,overall_iat_D_score,1,32
Argentina,overall_iat_D_score,1.25,8
Australia,es_iat_sex_age_order_explicit_resid,-7.5,3
Australia,es_iat_sex_age_order_explicit_resid,-6.75,1
Australia,es_iat_sex_age_order_explicit_resid,-6.5,9
Australia,es_iat_sex_age_order_explicit_resid,-5.5,10
Australia,es_iat_sex_age_order_explicit_resid,-4.75,2
Australia,es_iat_sex_age_order_explicit_resid,-4.5,48
Australia,es_iat_sex_age_order_explicit_resid,-3.75,2
Australia,es_iat_sex_age_order_explicit_resid,-3.5,69
Australia,es_iat_sex_age_order_explicit_resid,-2.75,19
Australia,es_iat_sex_age_order_explicit_resid,-2.5,141
Australia,es_iat_sex_age_order_explicit_resid,-1.75,422
Australia,es_iat_sex_age_order_explicit_resid,-1.5,3781
Australia,es_iat_sex_age_order_explicit_resid,-0.75,225
Australia,es_iat_sex_age_order_explicit_resid,-0.5,2603
Australia,es_iat_sex_age_order_explicit_resid,0.25,287
Australia,es_iat_sex_age_order_explicit_resid,0.5,2664
Australia,es_iat_sex_age_order_explicit_resid,1.25,83
Australia,es_iat_sex_age_order_explicit_resid,1.5,1080
Australia,es_iat_sex_age_order_explicit_resid,2.25,104
Australia,es_iat_sex_age_order_explicit_resid,2.5,1066
Australia,es_iat_sex_age_order_explicit_resid,3.25,39
Australia,es_iat_sex_age_order_explicit_resid,3.5,419
Australia,es_iat_sex_age_order_explicit_resid,4.25,16
Australia,es_iat_sex_age_order_explicit_resid,4.5,287
Australia,es_iat_sex_age_order_explicit_resid,NA,157
Australia,es_iat_sex_age_order_implicit_resid,-1.5,4
Australia,es_iat_sex_age_order_implicit_resid,-1.25,19
Australia,es_iat_sex_age_order_implicit_resid,-1,143
Australia,es_iat_sex_age_order_implicit_resid,-0.75,497
Australia,es_iat_sex_age_order_implicit_resid,-0.5,1339
Australia,es_iat_sex_age_order_implicit_resid,-0.25,2606
Australia,es_iat_sex_age_order_implicit_resid,-0,3784
Australia,es_iat_sex_age_order_implicit_resid,0.25,3267
Australia,es_iat_sex_age_order_implicit_resid,0.5,1530
Australia,es_iat_sex_age_order_implicit_resid,0.75,328
Australia,es_iat_sex_age_order_implicit_resid,1,20
Australia,explicit_dif,-6,3
Australia,explicit_dif,-5,10
Australia,explicit_dif,-4,10
Australia,explicit_dif,-3,50
Australia,explicit_dif,-2,71
Australia,explicit_dif,-1,160
Australia,explicit_dif,0,4203
Australia,explicit_dif,1,2828
Australia,explicit_dif,2,2951
Australia,explicit_dif,3,1163
Australia,explicit_dif,4,1170
Australia,explicit_dif,5,458
Australia,explicit_dif,6,303
Australia,explicit_dif,NA,157
Australia,overall_iat_D_score,-1.25,1
Australia,overall_iat_D_score,-1,8
Australia,overall_iat_D_score,-0.75,71
Australia,overall_iat_D_score,-0.5,284
Australia,overall_iat_D_score,-0.25,830
Australia,overall_iat_D_score,0,1885
Australia,overall_iat_D_score,0.25,3118
Australia,overall_iat_D_score,0.5,3797
Australia,overall_iat_D_score,0.75,2510
Australia,overall_iat_D_score,1,927
Australia,overall_iat_D_score,1.25,102
Australia,overall_iat_D_score,1.5,4
Austria,es_iat_sex_age_order_explicit_resid,-5.5,1
Austria,es_iat_sex_age_order_explicit_resid,-4.5,3
Austria,es_iat_sex_age_order_explicit_resid,-3.5,3
Austria,es_iat_sex_age_order_explicit_resid,-2.75,1
Austria,es_iat_sex_age_order_explicit_resid,-2.5,7
Austria,es_iat_sex_age_order_explicit_resid,-1.75,5
Austria,es_iat_sex_age_order_explicit_resid,-1.5,160
Austria,es_iat_sex_age_order_explicit_resid,-0.75,4
Austria,es_iat_sex_age_order_explicit_resid,-0.5,126
Austria,es_iat_sex_age_order_explicit_resid,0.25,10
Austria,es_iat_sex_age_order_explicit_resid,0.5,182
Austria,es_iat_sex_age_order_explicit_resid,1.25,4
Austria,es_iat_sex_age_order_explicit_resid,1.5,62
Austria,es_iat_sex_age_order_explicit_resid,2.25,7
Austria,es_iat_sex_age_order_explicit_resid,2.5,81
Austria,es_iat_sex_age_order_explicit_resid,3.5,30
Austria,es_iat_sex_age_order_explicit_resid,4.5,16
Austria,es_iat_sex_age_order_explicit_resid,NA,13
Austria,es_iat_sex_age_order_implicit_resid,-1.25,3
Austria,es_iat_sex_age_order_implicit_resid,-1,5
Austria,es_iat_sex_age_order_implicit_resid,-0.75,32
Austria,es_iat_sex_age_order_implicit_resid,-0.5,44
Austria,es_iat_sex_age_order_implicit_resid,-0.25,150
Austria,es_iat_sex_age_order_implicit_resid,0,191
Austria,es_iat_sex_age_order_implicit_resid,0.25,164
Austria,es_iat_sex_age_order_implicit_resid,0.5,100
Austria,es_iat_sex_age_order_implicit_resid,0.75,22
Austria,es_iat_sex_age_order_implicit_resid,1,3
Austria,es_iat_sex_age_order_implicit_resid,1.25,1
Austria,explicit_dif,-4,1
Austria,explicit_dif,-3,3
Austria,explicit_dif,-2,3
Austria,explicit_dif,-1,8
Austria,explicit_dif,0,165
Austria,explicit_dif,1,130
Austria,explicit_dif,2,192
Austria,explicit_dif,3,66
Austria,explicit_dif,4,88
Austria,explicit_dif,5,30
Austria,explicit_dif,6,16
Austria,explicit_dif,NA,13
Austria,overall_iat_D_score,-0.75,4
Austria,overall_iat_D_score,-0.5,15
Austria,overall_iat_D_score,-0.25,40
Austria,overall_iat_D_score,0,89
Austria,overall_iat_D_score,0.25,177
Austria,overall_iat_D_score,0.5,182
Austria,overall_iat_D_score,0.75,142
Austria,overall_iat_D_score,1,57
Austria,overall_iat_D_score,1.25,8
Austria,overall_iat_D_score,1.75,1
Belgium,es_iat_sex_age_order_explicit_resid,-5.5,1
Belgium,es_iat_sex_age_order_explicit_resid,-4.5,2
Belgium,es_iat_sex_age_order_explicit_resid,-3.5,3
Belgium,es_iat_sex_age_order_explicit_resid,-2.5,9
Belgium,es_iat_sex_age_order_explicit_resid,-1.75,21
Belgium,es_iat_sex_age_order_explicit_resid,-1.5,318
Belgium,es_iat_sex_age_order_explicit_resid,-0.75,19
Belgium,es_iat_sex_age_order_explicit_resid,-0.5,233
Belgium,es_iat_sex_age_order_explicit_resid,0.25,20
Belgium,es_iat_sex_age_order_explicit_resid,0.5,294
Belgium,es_iat_sex_age_order_explicit_resid,1.25,7
Belgium,es_iat_sex_age_order_explicit_resid,1.5,110
Belgium,es_iat_sex_age_order_explicit_resid,2.25,9
Belgium,es_iat_sex_age_order_explicit_resid,2.5,108
Belgium,es_iat_sex_age_order_explicit_resid,3.25,9
Belgium,es_iat_sex_age_order_explicit_resid,3.5,43
Belgium,es_iat_sex_age_order_explicit_resid,4.25,3
Belgium,es_iat_sex_age_order_explicit_resid,4.5,35
Belgium,es_iat_sex_age_order_explicit_resid,NA,41
Belgium,es_iat_sex_age_order_implicit_resid,-1.25,3
Belgium,es_iat_sex_age_order_implicit_resid,-1,10
Belgium,es_iat_sex_age_order_implicit_resid,-0.75,38
Belgium,es_iat_sex_age_order_implicit_resid,-0.5,103
Belgium,es_iat_sex_age_order_implicit_resid,-0.25,246
Belgium,es_iat_sex_age_order_implicit_resid,0,341
Belgium,es_iat_sex_age_order_implicit_resid,0.25,342
Belgium,es_iat_sex_age_order_implicit_resid,0.5,153
Belgium,es_iat_sex_age_order_implicit_resid,0.75,39
Belgium,es_iat_sex_age_order_implicit_resid,1,10
Belgium,explicit_dif,-4,1
Belgium,explicit_dif,-3,2
Belgium,explicit_dif,-2,3
Belgium,explicit_dif,-1,9
Belgium,explicit_dif,0,339
Belgium,explicit_dif,1,252
Belgium,explicit_dif,2,314
Belgium,explicit_dif,3,117
Belgium,explicit_dif,4,117
Belgium,explicit_dif,5,52
Belgium,explicit_dif,6,38
Belgium,explicit_dif,NA,41
Belgium,overall_iat_D_score,-0.75,4
Belgium,overall_iat_D_score,-0.5,18
Belgium,overall_iat_D_score,-0.25,69
Belgium,overall_iat_D_score,0,163
Belgium,overall_iat_D_score,0.25,291
Belgium,overall_iat_D_score,0.5,378
Belgium,overall_iat_D_score,0.75,243
Belgium,overall_iat_D_score,1,96
Belgium,overall_iat_D_score,1.25,23
Brazil,es_iat_sex_age_order_explicit_resid,-5.5,1
Brazil,es_iat_sex_age_order_explicit_resid,-4.5,2
Brazil,es_iat_sex_age_order_explicit_resid,-3.75,1
Brazil,es_iat_sex_age_order_explicit_resid,-3.5,7
Brazil,es_iat_sex_age_order_explicit_resid,-2.75,1
Brazil,es_iat_sex_age_order_explicit_resid,-2.5,19
Brazil,es_iat_sex_age_order_explicit_resid,-1.75,36
Brazil,es_iat_sex_age_order_explicit_resid,-1.5,460
Brazil,es_iat_sex_age_order_explicit_resid,-0.75,22
Brazil,es_iat_sex_age_order_explicit_resid,-0.5,266
Brazil,es_iat_sex_age_order_explicit_resid,0.25,23
Brazil,es_iat_sex_age_order_explicit_resid,0.5,275
Brazil,es_iat_sex_age_order_explicit_resid,1.25,6
Brazil,es_iat_sex_age_order_explicit_resid,1.5,116
Brazil,es_iat_sex_age_order_explicit_resid,2.25,11
Brazil,es_iat_sex_age_order_explicit_resid,2.5,94
Brazil,es_iat_sex_age_order_explicit_resid,3.25,3
Brazil,es_iat_sex_age_order_explicit_resid,3.5,34
Brazil,es_iat_sex_age_order_explicit_resid,4.25,1
Brazil,es_iat_sex_age_order_explicit_resid,4.5,36
Brazil,es_iat_sex_age_order_explicit_resid,NA,17
Brazil,es_iat_sex_age_order_implicit_resid,-1.25,3
Brazil,es_iat_sex_age_order_implicit_resid,-1,13
Brazil,es_iat_sex_age_order_implicit_resid,-0.75,39
Brazil,es_iat_sex_age_order_implicit_resid,-0.5,140
Brazil,es_iat_sex_age_order_implicit_resid,-0.25,272
Brazil,es_iat_sex_age_order_implicit_resid,-0,357
Brazil,es_iat_sex_age_order_implicit_resid,0.25,369
Brazil,es_iat_sex_age_order_implicit_resid,0.5,180
Brazil,es_iat_sex_age_order_implicit_resid,0.75,55
Brazil,es_iat_sex_age_order_implicit_resid,1,3
Brazil,explicit_dif,-4,1
Brazil,explicit_dif,-3,2
Brazil,explicit_dif,-2,8
Brazil,explicit_dif,-1,20
Brazil,explicit_dif,0,496
Brazil,explicit_dif,1,288
Brazil,explicit_dif,2,298
Brazil,explicit_dif,3,122
Brazil,explicit_dif,4,105
Brazil,explicit_dif,5,37
Brazil,explicit_dif,6,37
Brazil,explicit_dif,NA,17
Brazil,overall_iat_D_score,-0.75,9
Brazil,overall_iat_D_score,-0.5,20
Brazil,overall_iat_D_score,-0.25,76
Brazil,overall_iat_D_score,-0,233
Brazil,overall_iat_D_score,0.25,293
Brazil,overall_iat_D_score,0.5,377
Brazil,overall_iat_D_score,0.75,301
Brazil,overall_iat_D_score,1,103
Brazil,overall_iat_D_score,1.25,18
Brazil,overall_iat_D_score,1.5,1
Canada,es_iat_sex_age_order_explicit_resid,-7.5,5
Canada,es_iat_sex_age_order_explicit_resid,-6.5,7
Canada,es_iat_sex_age_order_explicit_resid,-5.75,1
Canada,es_iat_sex_age_order_explicit_resid,-5.5,11
Canada,es_iat_sex_age_order_explicit_resid,-4.75,1
Canada,es_iat_sex_age_order_explicit_resid,-4.5,56
Canada,es_iat_sex_age_order_explicit_resid,-3.75,4
Canada,es_iat_sex_age_order_explicit_resid,-3.5,116
Canada,es_iat_sex_age_order_explicit_resid,-2.75,8
Canada,es_iat_sex_age_order_explicit_resid,-2.5,291
Canada,es_iat_sex_age_order_explicit_resid,-1.75,367
Canada,es_iat_sex_age_order_explicit_resid,-1.5,6498
Canada,es_iat_sex_age_order_explicit_resid,-0.75,177
Canada,es_iat_sex_age_order_explicit_resid,-0.5,4363
Canada,es_iat_sex_age_order_explicit_resid,0.25,228
Canada,es_iat_sex_age_order_explicit_resid,0.5,4652
Canada,es_iat_sex_age_order_explicit_resid,1.25,58
Canada,es_iat_sex_age_order_explicit_resid,1.5,1638
Canada,es_iat_sex_age_order_explicit_resid,2.25,74
Canada,es_iat_sex_age_order_explicit_resid,2.5,1615
Canada,es_iat_sex_age_order_explicit_resid,3.25,27
Canada,es_iat_sex_age_order_explicit_resid,3.5,611
Canada,es_iat_sex_age_order_explicit_resid,4.25,18
Canada,es_iat_sex_age_order_explicit_resid,4.5,419
Canada,es_iat_sex_age_order_explicit_resid,NA,425
Canada,es_iat_sex_age_order_implicit_resid,-1.75,1
Canada,es_iat_sex_age_order_implicit_resid,-1.5,7
Canada,es_iat_sex_age_order_implicit_resid,-1.25,38
Canada,es_iat_sex_age_order_implicit_resid,-1,191
Canada,es_iat_sex_age_order_implicit_resid,-0.75,797
Canada,es_iat_sex_age_order_implicit_resid,-0.5,2176
Canada,es_iat_sex_age_order_implicit_resid,-0.25,4458
Canada,es_iat_sex_age_order_implicit_resid,0,6029
Canada,es_iat_sex_age_order_implicit_resid,0.25,5094
Canada,es_iat_sex_age_order_implicit_resid,0.5,2347
Canada,es_iat_sex_age_order_implicit_resid,0.75,488
Canada,es_iat_sex_age_order_implicit_resid,1,41
Canada,es_iat_sex_age_order_implicit_resid,1.25,3
Canada,explicit_dif,-6,5
Canada,explicit_dif,-5,7
Canada,explicit_dif,-4,12
Canada,explicit_dif,-3,57
Canada,explicit_dif,-2,120
Canada,explicit_dif,-1,299
Canada,explicit_dif,0,6865
Canada,explicit_dif,1,4540
Canada,explicit_dif,2,4880
Canada,explicit_dif,3,1696
Canada,explicit_dif,4,1689
Canada,explicit_dif,5,638
Canada,explicit_dif,6,437
Canada,explicit_dif,NA,425
Canada,overall_iat_D_score,-1.5,1
Canada,overall_iat_D_score,-1.25,2
Canada,overall_iat_D_score,-1,19
Canada,overall_iat_D_score,-0.75,88
Canada,overall_iat_D_score,-0.5,414
Canada,overall_iat_D_score,-0.25,1403
Canada,overall_iat_D_score,0,3150
Canada,overall_iat_D_score,0.25,5193
Canada,overall_iat_D_score,0.5,5881
Canada,overall_iat_D_score,0.75,4034
Canada,overall_iat_D_score,1,1290
Canada,overall_iat_D_score,1.25,185
Canada,overall_iat_D_score,1.5,10
China,es_iat_sex_age_order_explicit_resid,-6.5,4
China,es_iat_sex_age_order_explicit_resid,-5.5,5
China,es_iat_sex_age_order_explicit_resid,-4.5,8
China,es_iat_sex_age_order_explicit_resid,-3.75,2
China,es_iat_sex_age_order_explicit_resid,-3.5,27
China,es_iat_sex_age_order_explicit_resid,-2.75,3
China,es_iat_sex_age_order_explicit_resid,-2.5,44
China,es_iat_sex_age_order_explicit_resid,-1.75,15
China,es_iat_sex_age_order_explicit_resid,-1.5,481
China,es_iat_sex_age_order_explicit_resid,-0.75,9
China,es_iat_sex_age_order_explicit_resid,-0.5,262
China,es_iat_sex_age_order_explicit_resid,0.25,11
China,es_iat_sex_age_order_explicit_resid,0.5,405
China,es_iat_sex_age_order_explicit_resid,1.25,6
China,es_iat_sex_age_order_explicit_resid,1.5,163
China,es_iat_sex_age_order_explicit_resid,2.25,11
China,es_iat_sex_age_order_explicit_resid,2.5,223
China,es_iat_sex_age_order_explicit_resid,3.25,5
China,es_iat_sex_age_order_explicit_resid,3.5,82
China,es_iat_sex_age_order_explicit_resid,4.25,2
China,es_iat_sex_age_order_explicit_resid,4.5,77
China,es_iat_sex_age_order_explicit_resid,NA,37
China,es_iat_sex_age_order_implicit_resid,-1.25,3
China,es_iat_sex_age_order_implicit_resid,-1,9
China,es_iat_sex_age_order_implicit_resid,-0.75,60
China,es_iat_sex_age_order_implicit_resid,-0.5,186
China,es_iat_sex_age_order_implicit_resid,-0.25,374
China,es_iat_sex_age_order_implicit_resid,0,527
China,es_iat_sex_age_order_implicit_resid,0.25,443
China,es_iat_sex_age_order_implicit_resid,0.5,212
China,es_iat_sex_age_order_implicit_resid,0.75,63
China,es_iat_sex_age_order_implicit_resid,1,5
China,explicit_dif,-5,4
China,explicit_dif,-4,5
China,explicit_dif,-3,8
China,explicit_dif,-2,29
China,explicit_dif,-1,47
China,explicit_dif,0,496
China,explicit_dif,1,271
China,explicit_dif,2,416
China,explicit_dif,3,169
China,explicit_dif,4,234
China,explicit_dif,5,87
China,explicit_dif,6,79
China,explicit_dif,NA,37
China,overall_iat_D_score,-0.75,5
China,overall_iat_D_score,-0.5,30
China,overall_iat_D_score,-0.25,117
China,overall_iat_D_score,-0,252
China,overall_iat_D_score,0.25,466
China,overall_iat_D_score,0.5,529
China,overall_iat_D_score,0.75,335
China,overall_iat_D_score,1,125
China,overall_iat_D_score,1.25,22
China,overall_iat_D_score,1.5,1
Colombia,es_iat_sex_age_order_explicit_resid,-6.5,1
Colombia,es_iat_sex_age_order_explicit_resid,-4.5,2
Colombia,es_iat_sex_age_order_explicit_resid,-3.5,6
Colombia,es_iat_sex_age_order_explicit_resid,-2.5,11
Colombia,es_iat_sex_age_order_explicit_resid,-1.75,3
Colombia,es_iat_sex_age_order_explicit_resid,-1.5,137
Colombia,es_iat_sex_age_order_explicit_resid,-0.75,1
Colombia,es_iat_sex_age_order_explicit_resid,-0.5,89
Colombia,es_iat_sex_age_order_explicit_resid,0.25,2
Colombia,es_iat_sex_age_order_explicit_resid,0.5,77
Colombia,es_iat_sex_age_order_explicit_resid,1.25,3
Colombia,es_iat_sex_age_order_explicit_resid,1.5,48
Colombia,es_iat_sex_age_order_explicit_resid,2.25,1
Colombia,es_iat_sex_age_order_explicit_resid,2.5,35
Colombia,es_iat_sex_age_order_explicit_resid,3.5,22
Colombia,es_iat_sex_age_order_explicit_resid,4.25,1
Colombia,es_iat_sex_age_order_explicit_resid,4.5,9
Colombia,es_iat_sex_age_order_explicit_resid,NA,9
Colombia,es_iat_sex_age_order_implicit_resid,-1,4
Colombia,es_iat_sex_age_order_implicit_resid,-0.75,20
Colombia,es_iat_sex_age_order_implicit_resid,-0.5,57
Colombia,es_iat_sex_age_order_implicit_resid,-0.25,109
Colombia,es_iat_sex_age_order_implicit_resid,-0,125
Colombia,es_iat_sex_age_order_implicit_resid,0.25,98
Colombia,es_iat_sex_age_order_implicit_resid,0.5,35
Colombia,es_iat_sex_age_order_implicit_resid,0.75,7
Colombia,es_iat_sex_age_order_implicit_resid,1,2
Colombia,explicit_dif,-5,1
Colombia,explicit_dif,-3,2
Colombia,explicit_dif,-2,6
Colombia,explicit_dif,-1,11
Colombia,explicit_dif,0,140
Colombia,explicit_dif,1,90
Colombia,explicit_dif,2,79
Colombia,explicit_dif,3,51
Colombia,explicit_dif,4,36
Colombia,explicit_dif,5,22
Colombia,explicit_dif,6,10
Colombia,explicit_dif,NA,9
Colombia,overall_iat_D_score,-0.75,2
Colombia,overall_iat_D_score,-0.5,11
Colombia,overall_iat_D_score,-0.25,34
Colombia,overall_iat_D_score,-0,79
Colombia,overall_iat_D_score,0.25,124
Colombia,overall_iat_D_score,0.5,113
Colombia,overall_iat_D_score,0.75,71
Colombia,overall_iat_D_score,1,19
Colombia,overall_iat_D_score,1.25,2
Colombia,overall_iat_D_score,1.5,2
Croatia,es_iat_sex_age_order_explicit_resid,-3.5,2
Croatia,es_iat_sex_age_order_explicit_resid,-2.5,8
Croatia,es_iat_sex_age_order_explicit_resid,-1.75,1
Croatia,es_iat_sex_age_order_explicit_resid,-1.5,211
Croatia,es_iat_sex_age_order_explicit_resid,-0.75,1
Croatia,es_iat_sex_age_order_explicit_resid,-0.5,146
Croatia,es_iat_sex_age_order_explicit_resid,0.25,3
Croatia,es_iat_sex_age_order_explicit_resid,0.5,141
Croatia,es_iat_sex_age_order_explicit_resid,1.25,1
Croatia,es_iat_sex_age_order_explicit_resid,1.5,40
Croatia,es_iat_sex_age_order_explicit_resid,2.5,29
Croatia,es_iat_sex_age_order_explicit_resid,3.5,7
Croatia,es_iat_sex_age_order_explicit_resid,4.5,5
Croatia,es_iat_sex_age_order_explicit_resid,NA,8
Croatia,es_iat_sex_age_order_implicit_resid,-1.5,1
Croatia,es_iat_sex_age_order_implicit_resid,-1.25,2
Croatia,es_iat_sex_age_order_implicit_resid,-1,6
Croatia,es_iat_sex_age_order_implicit_resid,-0.75,12
Croatia,es_iat_sex_age_order_implicit_resid,-0.5,70
Croatia,es_iat_sex_age_order_implicit_resid,-0.25,107
Croatia,es_iat_sex_age_order_implicit_resid,0,163
Croatia,es_iat_sex_age_order_implicit_resid,0.25,156
Croatia,es_iat_sex_age_order_implicit_resid,0.5,70
Croatia,es_iat_sex_age_order_implicit_resid,0.75,14
Croatia,es_iat_sex_age_order_implicit_resid,1,2
Croatia,explicit_dif,-2,2
Croatia,explicit_dif,-1,8
Croatia,explicit_dif,0,212
Croatia,explicit_dif,1,147
Croatia,explicit_dif,2,144
Croatia,explicit_dif,3,41
Croatia,explicit_dif,4,29
Croatia,explicit_dif,5,7
Croatia,explicit_dif,6,5
Croatia,explicit_dif,NA,8
Croatia,overall_iat_D_score,-1.25,1
Croatia,overall_iat_D_score,-1,2
Croatia,overall_iat_D_score,-0.75,2
Croatia,overall_iat_D_score,-0.5,4
Croatia,overall_iat_D_score,-0.25,39
Croatia,overall_iat_D_score,-0,93
Croatia,overall_iat_D_score,0.25,128
Croatia,overall_iat_D_score,0.5,167
Croatia,overall_iat_D_score,0.75,121
Croatia,overall_iat_D_score,1,40
Croatia,overall_iat_D_score,1.25,6
Denmark,es_iat_sex_age_order_explicit_resid,-7.5,2
Denmark,es_iat_sex_age_order_explicit_resid,-6.5,1
Denmark,es_iat_sex_age_order_explicit_resid,-5.5,1
Denmark,es_iat_sex_age_order_explicit_resid,-4.5,2
Denmark,es_iat_sex_age_order_explicit_resid,-3.5,5
Denmark,es_iat_sex_age_order_explicit_resid,-2.5,13
Denmark,es_iat_sex_age_order_explicit_resid,-1.75,18
Denmark,es_iat_sex_age_order_explicit_resid,-1.5,261
Denmark,es_iat_sex_age_order_explicit_resid,-0.75,8
Denmark,es_iat_sex_age_order_explicit_resid,-0.5,200
Denmark,es_iat_sex_age_order_explicit_resid,0.25,19
Denmark,es_iat_sex_age_order_explicit_resid,0.5,262
Denmark,es_iat_sex_age_order_explicit_resid,1.25,10
Denmark,es_iat_sex_age_order_explicit_resid,1.5,91
Denmark,es_iat_sex_age_order_explicit_resid,2.25,13
Denmark,es_iat_sex_age_order_explicit_resid,2.5,79
Denmark,es_iat_sex_age_order_explicit_resid,3.25,3
Denmark,es_iat_sex_age_order_explicit_resid,3.5,19
Denmark,es_iat_sex_age_order_explicit_resid,4.5,16
Denmark,es_iat_sex_age_order_explicit_resid,NA,13
Denmark,es_iat_sex_age_order_implicit_resid,-1.5,1
Denmark,es_iat_sex_age_order_implicit_resid,-1.25,3
