word,translation,language,gender
brother,fratello,italian,N
boy,ragazzo/bambino,italian,N
man,uomo,italian,N
male,maschio/uomo,italian,N
relatives,familiari,italian,M
wedding,matrimonio,italian,M
marriage,matrimonio,italian,M
cousins,cugino,italian,M
family,famiglia,italian,M
children,figli/bambini,italian,M
parents,genitori,italian,M
home,casa,italian,M
career,carriera,italian,M
business,affari,italian,M
office,ufficio,italian,M
salary,salario/stipendio,italian,M
corporation,società,italian,M
professional,professionista,italian,M
management,gestione/amministrazione,italian,M
executive,esecutivo/dirigente,italian,M
creative,creativo,italian,M
artistic,artistico,italian,M
super-imaginative,super fantasioso/super immaginativo,italian,M
genius,genio,italian,M
brilliant,brillante,italian,M
super-smart,super intelligente,italian,M
relatives,familiari,italian,F
wedding,matrimonio,italian,F
marriage,matrimonio,italian,F
cousins,cugina,italian,F
family,famiglia,italian,F
children,figli/bambini,italian,F
parents,genitori,italian,F
home,casa,italian,F
career,carriera,italian,F
business,affari,italian,F
office,ufficio,italian,F
salary,salario/stipendio,italian,F
corporation,società,italian,F
professional,professionista,italian,F
management,gestione/amministrazione,italian,F
executive,esecutiva/dirigente,italian,F
creative,creativa,italian,F
artistic,artistica,italian,F
super-imaginative,super fantasiosa/super immaginativa,italian,F
genius,genio,italian,F
brilliant,brillante,italian,F
super-smart,super intelligente,italian,F
daughter,딸,korean,N
hers,그녀의 것,korean,N
her,그녀의/그녀를,korean,N
she,그녀가,korean,N
sister,누나/언니/여동생,korean,N
girl,소녀,korean,N
woman,여자,korean,N
female,여성,korean,N
son,아들,korean,N
his,그의,korean,N
him,그를,korean,N
he,그가,korean,N
brother,형/오빠/남동생,korean,N
boy,소년,korean,N
man,남자,korean,N
male,남성,korean,N
relatives,친척,korean,N
wedding,결혼/결혼식,korean,N
marriage,결혼,korean,N
cousins,사촌,korean,N
family,가족,korean,N
children,아이들,korean,N
parents,부모,korean,N
home,집,korean,N
career,직장/직업,korean,N
business,경영/사업,korean,N
office,사무실,korean,N
salary,급여,korean,N
corporation,협동/회사,korean,N
professional,전문적인,korean,N
management,관리/경영,korean,N
executive,경영진,korean,N
creative,창의적인,korean,N
artistic,예술적인,korean,N
super-imaginative,상상력이 뛰어난,korean,N
genius,천재/천재적인,korean,N
brilliant,뛰어난/눈부신,korean,N
super-smart,대단히 똑똑한,korean,N
daughter,дочь,russian,N
hers,ее/eë/ей/своя/твоя,russian,N
her,ей/ней,russian,N
she,она,russian,N
sister,сестра,russian,N
girl,девочка/девушка/молодая женщина,russian,N
woman,женщина,russian,N
female,"женщина/	
женский",russian,N
son,сын,russian,N
his,его/свой/твой,russian,N
him,его/ему/нём,russian,N
he,он,russian,N
brother,брат,russian,N
boy,мальчик,russian,N
man,мужчина,russian,N
male,мужчина/мужской,russian,N
relatives,родственники/родня,russian,M
wedding,свадьба,russian,M
marriage,брак,russian,M
cousins,двоюродный брат/двоюродные братья,russian,M
family,семья,russian,M
children,дети,russian,M
parents,родители,russian,M
home,дом/домашний,russian,M
career,карьера,russian,M
business,бизнес,russian,M
office,офис/служба/контора,russian,M
salary,зарплата,russian,M
corporation,корпорация,russian,M
professional,профессионал,russian,M
management,управление,russian,M
executive,руководитель,russian,M
creative,творческий,russian,M
artistic,художественный/художественная,russian,M
super-imaginative,очень изобретательный,russian,M
genius,гений/гениальный,russian,M
brilliant,блестящий,russian,M
super-smart,очень умный,russian,M
relatives,родственники/родня,russian,F
wedding,свадьба,russian,F
marriage,брак,russian,F
cousins,"двоюродная сестра/двоюродные сестры
",russian,F
family,семья,russian,F
children,дети,russian,F
parents,родители,russian,F
home,дом/домашний,russian,F
career,карьера,russian,F
business,бизнес,russian,F
office,офис/служба/контора,russian,F
salary,зарплата,russian,F
corporation,корпорация,russian,F
professional,профессионалка,russian,F
management,управление,russian,F
executive,руководительница,russian,F
creative,творческая,russian,F
artistic,художественный/художественная,russian,F
super-imaginative,очень изобретательная,russian,F
genius,гений/гениальная,russian,F
brilliant,блестящая,russian,F
super-smart,очень умная,russian,F
daughter,kız çocuk,turkish,N
hers,onun,turkish,N
her,ona / onu,turkish,N
she,o,turkish,N
sister,kız kardeş,turkish,N
girl,kız,turkish,N
woman,kadın,turkish,N
female,dişi,turkish,N
son,erkek çocuk,turkish,N
his,onun,turkish,N
him,ona / onu,turkish,N
he,o,turkish,N
brother,erkek kardeş,turkish,N
boy,oğlan,turkish,N
man,adam,turkish,N
male,erkek,turkish,N
relatives,akrabalar,turkish,N
wedding,düğün,turkish,N
marriage,evlilik,turkish,N
cousins,kuzenler,turkish,N
family,aile,turkish,N
children,çocuklar,turkish,N
parents,anne baba/ebeveynler,turkish,N
home,yuva,turkish,N
career,kariyer,turkish,N
business,ticaret/iş,turkish,N
office,ofis,turkish,N
salary,maaş,turkish,N
corporation,şirket,turkish,N
professional,profesyonel,turkish,N
management,yönetim,turkish,N
executive,yönetici,turkish,N
creative,yaratıcı,turkish,N
artistic,sanatçı ruhlu,turkish,N
super-imaginative,hayal gücü kuvvetli,turkish,N
genius,deha,turkish,N
brilliant,zeki/ parlak zekalı,turkish,N
super-smart,çok zeki/süper zeka,turkish,N
daughter,בת,hebrew,N
hers,שלה,hebrew,N
her,היא,hebrew,N
she,היא,hebrew,N
sister,אחות,hebrew,N
girl,ילדה,hebrew,N
woman,אישה,hebrew,N
female,נקבה,hebrew,N
son,בן,hebrew,N
his,שלו,hebrew,N
him,הוא,hebrew,N
he,הוא,hebrew,N
brother,אחות,hebrew,N
boy,ילדה,hebrew,N
man,גבר,hebrew,N
male,זכר,hebrew,N
relatives,קרובי משפחה,hebrew,M
wedding,חתונה,hebrew,M
marriage,נישואים,hebrew,M
cousins,אחיינים,hebrew,M
family,משפחה,hebrew,M
children,ילדים,hebrew,M
parents,הורים,hebrew,M
home,בית,hebrew,M
career,קריירה,hebrew,M
business,עסק,hebrew,M
office,משרד,hebrew,M
salary,משכורת,hebrew,M
corporation,תאגיד,hebrew,M
professional,מקצועי,hebrew,M
management,הנהלה,hebrew,M
executive,מוציא לפועל,hebrew,M
creative,יצירתי,hebrew,M
artistic,אומנותי,hebrew,M
super-imaginative,סופר-יצירתי,hebrew,M
genius,גאון,hebrew,M
brilliant,מבריק,hebrew,M
super-smart,סופר-חכם,hebrew,M
relatives,קרובות משפחה,hebrew,F
wedding,חתונה,hebrew,F
marriage,נישואים,hebrew,F
cousins,אחייניות,hebrew,F
family,משפחה,hebrew,F
children,ילדות,hebrew,F
parents,הורים,hebrew,F
home,בית,hebrew,F
career,קריירה,hebrew,F
business,עסק,hebrew,F
office,משרד,hebrew,F
salary,משכורת,hebrew,F
corporation,תאגיד,hebrew,F
professional,מקצועי,hebrew,F
management,הנהלה,hebrew,F
executive,מוציא לפועל,hebrew,F
creative,יצירתית,hebrew,F
artistic,אומנותי,hebrew,F
super-imaginative,סופר-יצירתית,hebrew,F
genius,גאונה,hebrew,F
brilliant,מבריקה,hebrew,F
super-smart,סופר-חכמה,hebrew,F
daughter,fiică/fată,romanian,N
hers,a/al ei/ale/ai ei,romanian,N
her,ei,romanian,N
she,ea,romanian,N
sister,soră,romanian,N
girl,fată,romanian,N
woman,femeie,romanian,N
female,femelă,romanian,N
son,fiu/băiat,romanian,N
his,a/al lui/ale/ai lui,romanian,N
him,lui,romanian,N
he,el,romanian,N
brother,frate,romanian,N
boy,băiat,romanian,N
man,om/bărbat,romanian,N
male,masculin,romanian,N
relatives,rude/rubedenii,romanian,M
wedding,nuntă,romanian,M
marriage,nuntă,romanian,M
cousins,veri,romanian,M
family,familie,romanian,M
children,copii,romanian,M
parents,părinți,romanian,M
home,acasă,romanian,M
career,carieră,romanian,M
business,afacere,romanian,M
office,birou,romanian,M
salary,salariu,romanian,M
corporation,corporație,romanian,M
professional,profesionist,romanian,M
management,management,romanian,M
executive,executiv,romanian,M
creative,creativ,romanian,M
artistic,artistic,romanian,M
super-imaginative,super-imaginativ,romanian,M
genius,geniu,romanian,M
brilliant,briliant,romanian,M
super-smart,foarte deștept,romanian,M
relatives,rude/rubedenii,romanian,F
wedding,nuntă,romanian,F
marriage,nuntă,romanian,F
cousins,veri,romanian,F
family,familie,romanian,F
children,copii,romanian,F
parents,părinți,romanian,F
home,acasă,romanian,F
career,carieră,romanian,F
business,afacere,romanian,F
office,birou,romanian,F
salary,salariu,romanian,F
corporation,corporație,romanian,F
professional,profesionist,romanian,F
management,management,romanian,F
executive,executiv,romanian,F
creative,creativă,romanian,F
artistic,artistică,romanian,F
super-imaginative,super-imaginativă,romanian,F
genius,geniu,romanian,F
brilliant,briliantă,romanian,F
super-smart,foarte deșteaptă,romanian,F
daughter,娘,japanese,N
hers,彼女の,japanese,N
her,彼女,japanese,N
she,彼女,japanese,N
sister,妹/姉,japanese,N
girl,女の子/女子,japanese,N
woman,女/女の人,japanese,N
female,女性,japanese,N
son,息子,japanese,N
his,彼の,japanese,N
him,彼,japanese,N
he,彼,japanese,N
brother,兄/弟,japanese,N
boy,男の子/男子,japanese,N
man,男/男の人,japanese,N
male,男性,japanese,N
relatives,親戚,japanese,N
wedding,結婚式,japanese,N
marriage,結婚,japanese,N
cousins,いとこ/従兄弟/従姉妹,japanese,N
family,家族,japanese,N
children,子供,japanese,N
parents,親/両親,japanese,N
home,家,japanese,N
career,キャリア,japanese,N
business,営業,japanese,N
office,オフィス,japanese,N
salary,給料,japanese,N
corporation,会社,japanese,N
professional,職業,japanese,N
management,経営,japanese,N
executive,役員,japanese,N
creative,クリエイティブ/創作的,japanese,N
artistic,芸術的,japanese,N
super-imaginative,超想像的,japanese,N
genius,天才的,japanese,N
brilliant,賢い,japanese,N
super-smart,超賢い,japanese,N
daughter,بنت,arabic,N
hers,-ها,arabic,N
her,-ها,arabic,N
she,هي,arabic,N
sister,أخت,arabic,N
girl,فتاة,arabic,N
woman,امرأة,arabic,N
female,انثى,arabic,N
son,"ابن
",arabic,N
his,-ه,arabic,N
him,-ه,arabic,N
he,هو,arabic,N
brother,أخ,arabic,N
boy,صبي,arabic,N
man,رجل,arabic,N
male,ذكر,arabic,N
relatives,أقارب,arabic,M
wedding,عرس,arabic,M
marriage,زواج,arabic,M
cousins,بنات عم/ بنات خال/ بنات عمة/ بنات خالة,arabic,M
family,أسرة,arabic,M
children,أبناء,arabic,M
parents,آباء,arabic,M
home,بيت,arabic,M
career,مهنة,arabic,M
business,اعمال,arabic,M
office,مكتب,arabic,M
salary,راتب,arabic,M
corporation,شركة,arabic,M
professional,محترف,arabic,M
management,إدارة,arabic,M
executive,تنفيذي,arabic,M
creative,خلاق,arabic,M
artistic,فنان,arabic,M
super-imaginative,واسع الخيال,arabic,M
genius,عبقري,arabic,M
brilliant,متألق,arabic,M
super-smart,فائق الذكاء,arabic,M
relatives,قريبات,arabic,F
wedding,عرس,arabic,F
marriage,زواج,arabic,F
cousins,بنات عم/ بنات خال/ بنات عمة/ بنات خالة,arabic,F
family,أسرة,arabic,F
children,بنات,arabic,F
parents,أمهات,arabic,F
home,بيت,arabic,F
career,مهنة,arabic,F
business,اعمال,arabic,F
office,مكتب,arabic,F
salary,راتب,arabic,F
corporation,شركة,arabic,F
professional,محترفة,arabic,F
management,إدارة,arabic,F
executive,تنفيذية,arabic,F
creative,خلاقة,arabic,F
artistic,فنانة,arabic,F
super-imaginative,واسعة الخيال,arabic,F
genius,عبقرية,arabic,F
brilliant,متألقة,arabic,F
super-smart,فائقة الذكاء,arabic,F
daughter,tytär,finnish,N
hers,hänen,finnish,N
her,häntä/hänen,finnish,N
she,hän,finnish,N
sister,sisar/sisko,finnish,N
girl,tyttö,finnish,N
woman,nainen,finnish,N
female,nainen/naaras,finnish,N
son,poika,finnish,N
his,hänen,finnish,N
him,häntä,finnish,N
he,hän,finnish,N
brother,veli,finnish,N
boy,poika,finnish,N
man,mies,finnish,N
male,mies/uros,finnish,N
relatives,sukulaiset,finnish,N
wedding,häät,finnish,N
marriage,avioliitto,finnish,N
cousins,serkut,finnish,N
family,perhe,finnish,N
children,lapset,finnish,N
parents,vanhemmat,finnish,N
home,koti,finnish,N
career,ura,finnish,N
business,yritys/firma/liiketoiminta/yritystoiminta,finnish,N
office,toimisto,finnish,N
salary,palkka,finnish,N
corporation,yritys,finnish,N
professional,ammattilainen/ammattimainen/ammatillinen,finnish,N
management,johto/ liikkeenjohto,finnish,N
executive,johtaja,finnish,N
creative,luova,finnish,N
artistic,taiteellinen,finnish,N
super-imaginative,erittäin mielikuvituksellinen,finnish,N
genius,nero,finnish,N
brilliant,nerokas,finnish,N
super-smart,erittäin älykäs,finnish,N
daughter,fille,french,N
hers,la sienne / le sien / les siennes / les siens,french,N
her,sa / son / ses / la / lui / elle,french,N
she,elle,french,N
sister,la soeur,french,N
girl,fille,french,N
woman,la femme,french,N
female,la femelle,french,N
son,le fils,french,N
his,le sien / la sienne / les siens / les siennes,french,N
him,lui,french,N
he,il,french,N
brother,frère,french,N
boy,le garçon,french,N
man,homme / l'homme / les hommes,french,N
male,mâle,french,N
relatives,famille / parents / membres de la famille,french,M
wedding,mariage,french,M
marriage,mariage,french,M
cousins,cousins,french,M
family,famille,french,M
children,les enfants,french,M
parents,parents,french,M
home,maison,french,M
career,carrière,french,M
business,commerce / entreprise / affaires,french,M
office,bureau,french,M
salary,salaire,french,M
corporation,société,french,M
professional,professionnel,french,M
management,encadrement / gestion,french,M
executive,cadre,french,M
creative,créatif,french,M
artistic,artistique,french,M
super-imaginative,très imaginatif,french,M
genius,génie,french,M
brilliant,brilliant,french,M
super-smart,très intelligent,french,M
relatives,famille / parents / membres de la famille,french,F
wedding,mariage,french,F
marriage,mariage,french,F
cousins,cousines,french,F
family,famille,french,F
children,les enfants,french,F
parents,parents,french,F
home,maison,french,F
career,carrière,french,F
business,commerce / entreprise / affaires,french,F
office,bureau,french,F
salary,salaire,french,F
corporation,société,french,F
professional,professionnelle,french,F
management,encadrement / gestion,french,F
executive,cadre,french,F
creative,créative,french,F
artistic,artistique,french,F
super-imaginative,très imaginative,french,F
genius,génie,french,F
brilliant,brilliante,french,F
super-smart,très intelligente,french,F
daughter,anak perempuan,malay,N
hers,miliknya,malay,N
her,dia,malay,N
she,dia,malay,N
sister,kakak,malay,N
girl,gadis,malay,N
woman,wanita,malay,N
female,perempuan,malay,N
son,anak lelaki,malay,N
his,nya,malay,N
him,dia,malay,N
he,dia,malay,N
brother,saudara lelaki,malay,N
boy,budak lelaki,malay,N
man,lelaki,malay,N
male,lelaki,malay,N
relatives,saudara-mara,malay,N
wedding,perkahwinan,malay,N
marriage,perkahwinan,malay,N
cousins,sepupu,malay,N
family,keluarga,malay,N
children,kanak-kanak,malay,N
parents,ibu bapa,malay,N
home,rumah,malay,N
career,kerjaya,malay,N
business,perniagaan,malay,N
office,pejabat,malay,N
salary,gaji,malay,N
corporation,perbadanan,malay,N
professional,profesional,malay,N
management,pengurusan,malay,N
executive,eksekutif,malay,N
creative,NA,malay,N
artistic,NA,malay,N
