occupation,mean_gender_rating,language
horse riders,0.64,english
horse trainers,0.61,english
hospital orderlies,0.52,english
hotel guests,0.49,english
hotel managers,0.42,english
housekeepers,0.74,english
humanitarians,0.53,english
humanities professors,0.46,english
hunters,0.2,english
ice skaters,0.62,english
infant teachers,0.76,english
informants,0.42,english
inmates,0.31,english
innkeepers,0.41,english
interior decorators,0.62,english
interpreters,0.55,english
inventors,0.31,english
it consultants,0.29,english
jailors,0.33,english
janitors,0.27,english
jewelers,0.49,english
job kers,0.43,english
joggers,0.53,english
journalists,0.53,english
judges,0.34,english
jugglers,0.36,english
jurors,0.47,english
karaoke singers,0.6,english
kids,0.5,english
killers,0.27,english
kindergarten teachers,0.79,english
knitters,0.81,english
lab technicians,0.44,english
landscape gardeners,0.4,english
law clerks,0.41,english
law professors,0.38,english
lawyers,0.41,english
leaders,0.36,english
librarians,0.67,english
lieutenants,0.25,english
lifeguards,0.38,english
lighthouse keepers,0.27,english
lodgers,0.42,english
lorry drivers,0.19,english
magicians,0.27,english
magician’s assistants,0.78,english
make up artists,0.78,english
managers,0.41,english
manicurists,0.84,english
mathematicians,0.32,english
mayors,0.31,english
mechanics,0.2,english
medical doctors,0.4,english
members of the armed forces,0.24,english
members of parliament,0.28,english
metallurgists,0.4,english
meteorologists,0.37,english
millionaires,0.34,english
miners,0.16,english
models,0.64,english
mountain climbers,0.33,english
murderers,0.28,english
musicians,0.47,english
nannies,0.82,english
neighbours,0.52,english
neurologists,0.42,english
neurosurgeons,0.34,english
news readers,0.49,english
novelists,0.54,english
nurses,0.74,english
nursery teachers,0.8,english
nutritionists,0.66,english
occupational therapists,0.61,english
oceanographers,0.47,english
office workers,0.51,english
orchestra conductors,0.31,english
orthodontists,0.43,english
palm readers,0.77,english
parachutists,0.36,english
parents,0.52,english
pastry chefs,0.5,english
patients,0.52,english
pawnbrokers,0.31,english
pedestrians,0.53,english
pediatricians,0.52,english
pensioners,0.52,english
persons,0.5,english
personal trainers,0.39,english
pharmacists,0.53,english
philanthropists,0.48,english
photographers,0.46,english
physicians,0.37,english
physicists,0.32,english
physics students,0.28,english
physiotherapists,0.51,english
piano players,0.51,english
pilots,0.24,english
playgroup leaders,0.77,english
plumbers,0.21,english
poets,0.45,english
police inspectors,0.34,english
police officers,0.36,english
police sergeants,0.3,english
political activists,0.46,english
politicians,0.29,english
porters,0.27,english
postal workers,0.34,english
postmen,0.25,english
presidents,0.16,english
priests,0.16,english
primary school teachers,0.75,english
prison guards,0.26,english
prisoners,0.3,english
private detectives,0.31,english
probation officers,0.37,english
professional athletes,0.42,english
professors,0.38,english
projectionists,0.44,english
proofreaders,0.53,english
prostitutes,0.81,english
protestors,0.49,english
psychiatrists,0.55,english
psychology students,0.76,english
publishers,0.47,english
racing car drivers,0.19,english
radio announcers,0.43,english
radio technicians,0.34,english
rape victims,0.82,english
rapists,0.15,english
receptionists,0.75,english
relatives,0.5,english
reporters,0.51,english
rescue workers,0.36,english
research scientists,0.42,english
road workers,0.19,english
roadies,0.38,english
romantic novelists,0.71,english
roofers,0.19,english
rubbish collectors,0.18,english
runners,0.46,english
sailors,0.27,english
sales assistants,0.64,english
salespersons,0.49,english
schoolchildrens,0.5,english
screenwriters,0.4,english
scuba divers,0.41,english
sculptors,0.45,english
secretaries,0.75,english
serial killers,0.23,english
sheriffs,0.23,english
shoemakers,0.34,english
shoplifters,0.46,english
shoppers,0.7,english
singers,0.57,english
single parents,0.76,english
skiers,0.44,english
smugglers,0.32,english
snooker players,0.2,english
social workers,0.7,english
socialites,0.63,english
solarium users,0.55,english
soldiers,0.22,english
sound engineers,0.29,english
spectators,0.44,english
speech therapists,0.65,english
sports coachs,0.33,english
spies,0.38,english
statisticians,0.32,english
stockbrokers,0.28,english
strippers,0.69,english
structural engineers,0.26,english
students,0.55,english
sunbathers,0.68,english
supervisors,0.45,english
surfers,0.36,english
surgeons,0.33,english
suspects,0.36,english
swimmers,0.49,english
switchboard operators,0.52,english
synchronized swimmers,0.73,english
systems analysts,0.33,english
tailors,0.32,english
tap dancers,0.64,english
tarot card readers,0.73,english
tattooists,0.36,english
tax advisors,0.34,english
taxi drivers,0.2,english
taxidermists,0.35,english
technicians,0.35,english
technologists,0.34,english
teenagers,0.52,english
telephone operators,0.56,english
tennis players,0.47,english
terrorists,0.19,english
theatre directors,0.43,english
thieves,0.35,english
ticket inspectors,0.29,english
toddlers,0.5,english
toolmakers,0.24,english
tour guides,0.49,english
trade unionists,0.4,english
traffic engineers,0.26,english
train conductors,0.25,english
translators,0.57,english
travel agents,0.58,english
trumpet players,0.37,english
tuba players,0.43,english
typists,0.64,english
tyre fitters,0.21,english
undertakers,0.25,english
vets,0.5,english
vice chancellors,0.32,english
victims,0.63,english
violinists,0.62,english
waiters,0.45,english
wardens,0.35,english
weavers,0.7,english
wedding planners,0.78,english
weight lifters,0.24,english
welders,0.23,english
wine connoisseurs,0.38,english
wood carvers,0.25,english
wood workers,0.24,english
workers,0.42,english
wrestlers,0.2,english
writers,0.5,english
x-ray technicians,0.47,english
youngsters,0.48,english
zoologists,0.49,english
accountants,0.39,french
acrobats,0.55,french
acupuncturists,0.49,french
administrative workers,0.57,french
admirals,0.16,french
aerobics instructors,0.74,french
air traffic controllers,0.32,french
alcoholics,0.36,french
anglers,0.18,french
antique dealers,0.39,french
apprentices,0.45,french
architects,0.38,french
archivists,0.46,french
artists,0.52,french
assistants,0.58,french
assistant chefs,0.31,french
astrologists,0.52,french
astronauts,0.18,french
astronomers,0.28,french
athletes,0.41,french
au pairs,0.88,french
auctioneers,0.33,french
authors,0.5,french
babies,0.51,french
babysitters,0.9,french
bakers,0.41,french
ballet dancers,0.76,french
bank clerks,0.49,french
bankers,0.34,french
barbers,0.15,french
bartenders,0.39,french
baseball players,0.21,french
basketball players,0.27,french
bass players,0.29,french
beauticians,0.86,french
bikers,0.27,french
bingo players,0.54,french
biologists,0.48,french
birth attendants,0.82,french
blacksmiths,0.16,french
bosses,0.29,french
boutique owners,0.59,french
boxers,0.2,french
bricklayers,0.1,french
building contractors,0.24,french
bus drivers,0.27,french
butchers,0.22,french
butlers,0.27,french
cabinet ministers,0.25,french
cake decorators,0.66,french
camera operators,0.26,french
campers,0.42,french
canteen assistants,0.63,french
card players,0.44,french
care workers,0.67,french
caregivers,0.64,french
carpenters,0.18,french
cartoonists,0.29,french
cashiers,0.75,french
cat owners,0.66,french
caterers,0.4,french
celebrities,0.52,french
chair persons,0.22,french
chamber-maids,0.82,french
cheerleaders,0.95,french
chefs,0.3,french
chemists,0.3,french
child educators,0.68,french
child-minders,0.8,french
chiropractors,0.44,french
chocolate lovers,0.63,french
choreographers,0.59,french
cinema goers,0.53,french
clairvoyants,0.78,french
cleaners,0.43,french
clerks,0.51,french
climbers,0.37,french
clinical psychologists,0.58,french
clowns,0.18,french
colonels,0.1,french
comedians,0.5,french
composers,0.35,french
computer programmers,0.26,french
computer specialists,0.26,french
computer technicians,0.22,french
conquerors,0.21,french
construction workers,0.14,french
cooks,0.38,french
coordinators,0.47,french
counseling psychologists,0.6,french
counsellors,0.52,french
couriers,0.29,french
court reporters,0.5,french
craft workers,0.39,french
crane operators,0.13,french
criminals,0.28,french
cult members,0.47,french
curators,0.43,french
customers,0.56,french
customs inspectors,0.26,french
customs officers,0.22,french
cyclists,0.33,french
dance instructors,0.65,french
dancers,0.68,french
data processors,0.33,french
database administrators,0.36,french
deacons,0.26,french
dental hygienists,0.68,french
dental technicians,0.57,french
dentists,0.39,french
deputies,0.3,french
designers,0.44,french
detectives,0.32,french
dieticians,0.75,french
diplomats,0.29,french
dog owners,0.52,french
door keepers,0.18,french
dressmakers,0.73,french
drivers,0.37,french
driving instructors,0.24,french
drug addicts,0.39,french
drug dealers,0.24,french
drummers,0.25,french
economists,0.31,french
educational psychologists,0.61,french
electricians,0.2,french
embezzlers,0.29,french
engine-drivers,0.19,french
engineers,0.22,french
entertainers,0.43,french
environmentalists,0.51,french
estate agents,0.43,french
executives,0.29,french
executors,0.34,french
exercise instructors,0.44,french
exotic dancers,0.79,french
explorers,0.33,french
factory managers,0.17,french
fans,0.62,french
farmers,0.27,french
fashion models,0.68,french
fencers,0.38,french
fig. skaters,0.65,french
film directors,0.24,french
film stars,0.51,french
financial advisers,0.32,french
financial analysts,0.3,french
firefighters,0.18,french
flight attendants,0.68,french
florists,0.81,french
flute players,0.63,french
football coaches,0.18,french
football players,0.21,french
forensic psychologists,0.48,french
forest rangers,0.2,french
fortune tellers,0.76,french
funeral directors,0.22,french
game wardens,0.15,french
gardeners,0.36,french
generals,0.14,french
general managers,0.26,french
geologists,0.35,french
goalkeepers,0.19,french
goldsmiths,0.38,french
golfers,0.24,french
government officials,0.41,french
governors,0.21,french
graphic designers,0.43,french
groupies,0.76,french
guards,0.36,french
guitar players,0.33,french
gymnasts,0.59,french
gynaecologists,0.55,french
hairdressers,0.75,french
heads of department,0.31,french
head teachers,0.37,french
health visitors,0.64,french
"heavy equipment operators""",0.17,french
historians,0.37,french
history professors,0.37,french
hitchhikers,0.37,french
homeless persons,0.35,french
horse riders,0.55,french
horse trainers,0.62,french
hospital orderlies,0.74,french
hotel guests,0.46,french
hotel managers,0.29,french
housekeepers,0.67,french
humanitarians,0.57,french
humanities professors,0.46,french
hunters,0.15,french
ice skaters,0.64,french
infant teachers,0.74,french
informants,0.4,french
inmates,0.29,french
innkeepers,0.43,french
interior decorators,0.69,french
interpreters,0.55,french
inventors,0.32,french
it consultants,0.23,french
jailors,0.29,french
janitors,0.4,french
jewelers,0.51,french
job kers,0.43,french
joggers,0.5,french
judges,0.34,french
jugglers,0.37,french
jurors,0.44,french
karaoke singers,0.57,french
kids,0.51,french
killers,0.28,french
kindergarten teachers,0.8,french
knitters,0.88,french
lab technicians,0.42,french
landscape gardeners,0.28,french
law clerks,0.49,french
law professors,0.34,french
lawyers,0.41,french
leaders,0.27,french
librarians,0.67,french
lieutenants,0.13,french
lifeguards,0.31,french
lighthouse keepers,0.22,french
lodgers,0.46,french
lorry drivers,0.18,french
magicians,0.29,french
magician’s assistants,0.82,french
make up artists,0.77,french
managers,0.35,french
manicurists,0.9,french
mathematicians,0.22,french
mayors,0.27,french
mechanics,0.2,french
medical doctors,0.39,french
members of the armed forces,0.12,french
members of parliament,0.34,french
metallurgists,0.21,french
meteorologists,0.4,french
millionaires,0.26,french
miners,0.23,french
models,0.65,french
mountain climbers,0.32,french
murderers,0.3,french
musicians,0.47,french
neighbours,0.51,french
neurologists,0.32,french
neurosurgeons,0.28,french
news readers,0.56,french
novelists,0.52,french
nurses,0.72,french
nursery teachers,0.78,french
nutritionists,0.74,french
occupational therapists,0.62,french
oceanographers,0.4,french
office workers,0.55,french
orchestra conductors,0.2,french
orthodontists,0.42,french
palm readers,0.59,french
parachutists,0.33,french
parents,0.5,french
pastry chefs,0.41,french
patients,0.5,french
pawnbrokers,0.28,french
pedestrians,0.52,french
pediatricians,0.51,french
pensioners,0.55,french
persons,0.53,french
personal trainers,0.34,french
pharmacists,0.58,french
philanthropists,0.41,french
photographers,0.45,french
physicians,0.36,french
physicists,0.25,french
physics students,0.23,french
physiotherapists,0.51,french
piano players,0.49,french
pilots,0.24,french
playgroup leaders,0.79,french
plumbers,0.15,french
poets,0.39,french
police inspectors,0.31,french
police officers,0.28,french
police sergeants,0.25,french
political activists,0.4,french
politicians,0.31,french
porters,0.19,french
postal workers,0.53,french
postmen,0.37,french
presidents,0.15,french
priests,0.06,french
primary school teachers,0.72,french
prison guards,0.19,french
prisoners,0.31,french
private detectives,0.28,french
probation officers,0.38,french
professional athletes,0.4,french
professors,0.46,french
projectionists,0.33,french
proofreaders,0.56,french
prostitutes,0.87,french
protestors,0.47,french
psychiatrists,0.48,french
psychology students,0.76,french
publishers,0.37,french
racing car drivers,0.16,french
radio announcers,0.41,french
radio technicians,0.29,french
rape victims,0.86,french
rapists,0.12,french
receptionists,0.74,french
relatives,0.53,french
reporters,0.46,french
rescue workers,0.4,french
research scientists,0.38,french
road workers,0.27,french
roadies,0.22,french
romantic novelists,0.7,french
roofers,0.2,french
rubbish collectors,0.14,french
runners,0.45,french
sailors,0.16,french
sales assistants,0.55,french
salespersons,0.65,french
schoolchildrens,0.53,french
screenwriters,0.31,french
scuba divers,0.35,french
sculptors,0.4,french
secretaries,0.82,french
serial killers,0.25,french
sheriffs,0.19,french
shoemakers,0.25,french
shoplifters,0.42,french
shoppers,0.65,french
singers,0.58,french
single parents,0.59,french
skiers,0.43,french
smugglers,0.23,french
snooker players,0.23,french
social workers,0.69,french
socialites,0.52,french
solarium users,0.77,french
soldiers,0.1,french
sound engineers,0.26,french
spectators,0.51,french
speech therapists,0.66,french
sports coachs,0.28,french
spies,0.29,french
statisticians,0.32,french
stockbrokers,0.4,french
strippers,0.79,french
structural engineers,0.27,french
students,0.58,french
sunbathers,0.6,french
supervisors,0.39,french
surfers,0.35,french
surgeons,0.3,french
suspects,0.36,french
swimmers,0.44,french
switchboard operators,0.56,french
synchronized swimmers,0.69,french
systems analysts,0.23,french
tailors,0.46,french
tap dancers,0.56,french
tarot card readers,0.59,french
tattooists,0.29,french
tax advisors,0.33,french
taxi drivers,0.18,french
taxidermists,0.3,french
technicians,0.3,french
technologists,0.33,french
teenagers,0.52,french
telephone operators,0.55,french
tennis players,0.44,french
terrorists,0.19,french
theatre directors,0.42,french
thieves,0.34,french
ticket inspectors,0.3,french
toddlers,0.58,french
toolmakers,0.21,french
tour guides,0.44,french
trade unionists,0.42,french
traffic engineers,0.31,french
train conductors,0.19,french
translators,0.61,french
travel agents,0.59,french
trumpet players,0.33,french
tuba players,0.29,french
typists,0.65,french
tyre fitters,0.12,french
undertakers,0.23,french
vets,0.49,french
vice chancellors,0.29,french
victims,0.67,french
violinists,0.56,french
waiters,0.64,french
wardens,0.27,french
weavers,0.62,french
wedding planners,0.78,french
weight lifters,0.21,french
welders,0.19,french
wine connoisseurs,0.41,french
wood carvers,0.31,french
wood workers,0.19,french
workers,0.26,french
wrestlers,0.2,french
writers,0.46,french
x-ray technicians,0.4,french
youngsters,0.55,french
zoologists,0.48,french
animators,NA,french
bookkeepers,0.39,french
car mechanics,0.2,french
caretakers,0.4,french
children,0.51,french
clients,0.56,french
company directors,0.26,french
conservationists,0.43,french
doctors of philosophy,0.39,french
editors,0.37,french
groundkeepers,NA,french
journalists,0.46,french
nannies,NA,french
acrobats,0.53,german
acupuncturists,0.6,german
administrative workers,0.59,german
admirals,0.16,german
aerobics instructors,0.72,german
air traffic controllers,0.29,german
alcoholics,0.39,german
anglers,0.23,german
animators,0.52,german
antique dealers,0.37,german
apprentices,0.45,german
architects,0.42,german
archivists,0.54,german
artists,0.5,german
assistants,0.65,german
assistant chefs,0.49,german
astrologists,0.44,german
astronauts,0.24,german
astronomers,0.38,german
athletes,0.47,german
au pairs,0.8,german
auctioneers,0.34,german
authors,0.48,german
babies,0.53,german
babysitters,0.83,german
bakers,0.41,german
ballet dancers,0.75,german
bank clerks,0.49,german
bankers,0.46,german
barbers,0.52,german
bartenders,0.37,german
baseball players,0.19,german
basketball players,0.3,german
bass players,0.3,german
beauticians,0.85,german
bikers,0.3,german
bingo players,0.54,german
biologists,0.52,german
birth attendants,0.83,german
blacksmiths,0.24,german
bookkeepers,0.48,german
bosses,0.35,german
boutique owners,0.71,german
boxers,0.26,german
bricklayers,0.19,german
building contractors,0.24,german
bus drivers,0.28,german
butchers,0.26,german
butlers,0.45,german
cabinet ministers,0.33,german
camera operators,0.33,german
campers,0.44,german
canteen assistants,0.55,german
car mechanics,0.19,german
card players,0.33,german
care workers,0.64,german
caregivers,0.67,german
caretakers,0.47,german
carpenters,0.22,german
cartoonists,0.32,german
cashiers,0.74,german
cat owners,0.66,german
caterers,0.5,german
celebrities,0.52,german
chair persons,0.31,german
chamber-maids,0.79,german
cheerleaders,0.82,german
chefs,0.31,german
chemists,0.37,german
child-minders,0.87,german
chiropractors,0.45,german
chocolate lovers,0.67,german
choreographers,0.53,german
cinema goers,0.51,german
clairvoyants,0.74,german
cleaners,0.75,german
clerks,0.54,german
clients,0.51,german
climbers,0.35,german
clinical psychologists,0.54,german
clowns,0.31,german
colonels,0.3,german
comedians,0.38,german
company directors,0.32,german
composers,0.36,german
computer programmers,0.2,german
computer specialists,0.26,german
computer technicians,0.22,german
conquerors,0.23,german
conservationists,0.53,german
construction workers,0.17,german
cooks,0.39,german
coordinators,0.5,german
counseling psychologists,0.56,german
counsellors,0.49,german
couriers,0.28,german
court reporters,0.55,german
craft workers,0.23,german
crane operators,0.16,german
criminals,0.34,german
cult members,0.52,german
curators,0.45,german
customers,0.56,german
customs inspectors,0.35,german
customs officers,0.36,german
cyclists,0.43,german
dance instructors,0.57,german
dancers,0.6,german
data processors,0.39,german
database administrators,0.38,german
deacons,0.39,german
dental hygienists,0.53,german
dental technicians,0.56,german
dentists,0.44,german
deputies,0.49,german
designers,0.52,german
detectives,0.32,german
dieticians,0.7,german
diplomats,0.33,german
doctors of philosophy,0.44,german
dog owners,0.5,german
door keepers,0.27,german
drivers,0.37,german
driving instructors,0.28,german
drug addicts,0.42,german
drug dealers,0.25,german
drummers,0.27,german
economists,0.41,german
editors,0.44,german
educational psychologists,0.7,german
electricians,0.22,german
embezzlers,0.38,german
engine-drivers,0.24,german
engineers,0.26,german
entertainers,0.42,german
environmentalists,0.53,german
estate agents,0.45,german
executives,0.26,german
executors,0.43,german
exercise instructors,0.47,german
exotic dancers,0.72,german
explorers,0.33,german
factory managers,0.26,german
fans,0.49,german
farmers,0.36,german
fashion models,0.65,german
fencers,0.41,german
fig. skaters,0.67,german
film directors,0.32,german
film stars,0.51,german
financial advisers,0.39,german
financial analysts,0.38,german
firefighters,0.23,german
flight attendants,0.75,german
florists,0.79,german
flute players,0.58,german
football coaches,0.2,german
football players,0.3,german
forensic psychologists,0.43,german
forest rangers,0.25,german
fortune tellers,0.74,german
funeral directors,0.28,german
game wardens,0.3,german
gardeners,0.39,german
generals,0.15,german
general managers,0.32,german
geologists,0.38,german
goalkeepers,0.26,german
goldsmiths,0.39,german
golfers,0.31,german
government officials,0.36,german
governors,0.23,german
graphic designers,0.49,german
groundkeepers,0.2,german
groupies,0.73,german
guards,0.28,german
guitar players,0.42,german
gymnasts,0.53,german
gynaecologists,0.54,german
hairdressers,0.78,german
heads of department,0.36,german
head teachers,0.39,german
health visitors,0.63,german
"heavy equipment operators""",0.17,german
historians,0.39,german
history professors,0.33,german
hitchhikers,0.39,german
homeless persons,0.36,german
horse riders,0.65,german
horse trainers,0.63,german
hotel guests,0.46,german
hotel managers,0.35,german
housekeepers,0.78,german
humanitarians,0.55,german
humanities professors,0.5,german
hunters,0.23,german
ice skaters,0.62,german
infant teachers,0.79,german
informants,0.39,german
inmates,0.29,german
innkeepers,0.47,german
interior decorators,0.6,german
interpreters,0.6,german
inventors,0.36,german
it consultants,0.24,german
jailors,0.22,german
janitors,0.23,german
jewelers,0.44,german
job kers,0.45,german
joggers,0.48,german
journalists,0.52,german
judges,0.37,german
jugglers,0.37,german
jurors,0.44,german
karaoke singers,0.55,german
kids,0.53,german
killers,0.22,german
kindergarten teachers,0.82,german
knitters,0.84,german
lab technicians,0.51,german
landscape gardeners,0.4,german
law clerks,0.69,german
law professors,0.32,german
lawyers,0.41,german
leaders,0.37,german
librarians,0.65,german
lieutenants,0.2,german
lifeguards,0.38,german
lighthouse keepers,0.21,german
lodgers,0.52,german
lorry drivers,0.15,german
magicians,0.3,german
magician’s assistants,0.8,german
make up artists,0.81,german
managers,0.28,german
manicurists,0.9,german
mathematicians,0.28,german
mayors,0.28,german
mechanics,0.23,german
medical doctors,0.43,german
members of the armed forces,0.21,german
members of parliament,0.32,german
metallurgists,0.28,german
meteorologists,0.36,german
millionaires,0.32,german
miners,0.13,german
models,0.7,german
mountain climbers,0.31,german
murderers,0.28,german
musicians,0.5,german
neighbours,0.5,german
neurologists,0.41,german
neurosurgeons,0.38,german
news readers,0.51,german
novelists,0.58,german
nurses,0.65,german
nursery teachers,0.81,german
nutritionists,0.67,german
occupational therapists,0.67,german
oceanographers,0.48,german
office workers,0.61,german
orchestra conductors,0.27,german
orthodontists,0.42,german
palm readers,0.75,german
parachutists,0.33,german
parents,0.54,german
pastry chefs,0.53,german
patients,0.51,german
pawnbrokers,0.34,german
pedestrians,0.52,german
pediatricians,0.58,german
pensioners,0.57,german
persons,0.53,german
personal trainers,0.46,german
pharmacists,0.61,german
philanthropists,0.51,german
photographers,0.5,german
physicians,0.48,german
physicists,0.26,german
physics students,0.23,german
physiotherapists,0.58,german
piano players,0.49,german
pilots,0.23,german
playgroup leaders,0.8,german
plumbers,0.18,german
poets,0.38,german
police inspectors,0.33,german
police officers,0.35,german
police sergeants,0.29,german
political activists,0.46,german
politicians,0.33,german
porters,0.17,german
postal workers,0.49,german
postmen,0.45,german
presidents,0.17,german
priests,0.18,german
primary school teachers,0.79,german
prisoners,0.32,german
private detectives,0.3,german
probation officers,0.45,german
professional athletes,0.41,german
professors,0.38,german
projectionists,0.4,german
proofreaders,0.62,german
prostitutes,0.75,german
protestors,0.47,german
psychiatrists,0.51,german
psychology students,0.64,german
publishers,0.44,german
racing car drivers,0.2,german
radio announcers,0.45,german
radio technicians,0.28,german
rape victims,0.82,german
rapists,0.17,german
receptionists,0.69,german
relatives,0.55,german
reporters,0.5,german
rescue workers,0.37,german
research scientists,0.42,german
road workers,0.15,german
roadies,0.3,german
romantic novelists,0.7,german
roofers,0.16,german
rubbish collectors,0.16,german
runners,0.46,german
sailors,0.36,german
sales assistants,0.58,german
salespersons,0.69,german
schoolchildrens,0.53,german
screenwriters,0.39,german
scuba divers,0.39,german
sculptors,0.43,german
secretaries,0.8,german
serial killers,0.23,german
sheriffs,0.23,german
shoemakers,0.29,german
shoplifters,0.39,german
shoppers,0.59,german
singers,0.54,german
single parents,0.76,german
skiers,0.41,german
smugglers,0.29,german
snooker players,0.3,german
social workers,0.61,german
solarium users,0.69,german
soldiers,0.18,german
sound engineers,0.32,german
spectators,0.51,german
speech therapists,0.68,german
sports coachs,0.41,german
spies,0.32,german
statisticians,0.35,german
stockbrokers,0.26,german
strippers,0.68,german
structural engineers,0.29,german
students,0.55,german
sunbathers,0.64,german
supervisors,0.34,german
surfers,0.35,german
surgeons,0.29,german
suspects,0.33,german
swimmers,0.47,german
synchronized swimmers,0.68,german
systems analysts,0.31,german
tailors,0.71,german
tap dancers,0.55,german
tarot card readers,0.74,german
tattooists,0.35,german
tax advisors,0.44,german
taxi drivers,0.24,german
taxidermists,0.4,german
technicians,0.27,german
technologists,0.31,german
teenagers,0.53,german
telephone operators,0.68,german
tennis players,0.49,german
terrorists,0.21,german
theatre directors,0.36,german
thieves,0.38,german
ticket inspectors,0.33,german
toddlers,0.54,german
toolmakers,0.18,german
tour guides,0.57,german
trade unionists,0.43,german
traffic engineers,0.29,german
train conductors,0.38,german
translators,0.64,german
travel agents,0.58,german
trumpet players,0.35,german
tuba players,0.41,german
typists,0.7,german
tyre fitters,0.19,german
undertakers,0.31,german
vets,0.59,german
vice chancellors,0.27,german
victims,0.61,german
violinists,0.51,german
waiters,0.61,german
wardens,0.39,german
weavers,0.65,german
wedding planners,0.65,german
weight lifters,0.22,german
welders,0.16,german
wine connoisseurs,0.4,german
wood carvers,0.3,german
wood workers,0.24,german
workers,0.43,german
wrestlers,0.2,german
writers,0.49,german
x-ray technicians,0.46,german
youngsters,0.51,german
zoologists,0.48,german
accountants,0.48,german
cake decorators,NA,german
