English,Czech,French,German,Italian,Norwegian,Slovak
dancers,tanečníci,danseurs,tänzer,ballerini,dansere,tanečníci
data processors,zpracovatelé údajů,traiteurs de données,datenverarbeiter,elaboratori di dati,NA,spracovávatelia údajov
database administrators,administrátoři databází,administrateurs de bases de données,datenbankverwalter,amministratori di database,NA,databázoví administrátori
deacons,jáhni,diacres,diakone,diaconi,diakoner,diakoni
dental hygienists,zubní hygienici,hygiénistes dentaire,dentalhygieniker,igienisti dentali,tannpleiere,dentálni hygienici
dental technicians,zubaři,techniciens dentaire,zahntechniker,odontotecnici,tannteknikere,zubní technici
dentists,zubní technici,dentistes,zahnärzte,dentisti,tannleger,zubári
deputies,zástupci,députés,stellvertreter,deputati,varamedlemmer,zástupcovia
designers,návrháři,designers,designer,designers,designere,návrhári
detectives,detektivové,détectives,detektive,investigatori,detektiver,detektívi
dieticians,dietetici,diététiciens,ernährungsberater,dietologi,kostholdseksperter,výživoví poradcovia
diplomats,diplomati,diplomates,diplomaten,diplomatici,diplomater,diplomati
doctors of administrátori,doktoři/lékaři,docteurs,doktoren der philosophie,dottori,filosofidoktorer,lekári
dog owners,majitelé psů,propriétaires de chien,hundehalter,proprietari di cani,hundeeiere,majitelia psov
door keepers,vrátní,portiers,pförtner,portinai,dørvakter,vrátnici
dressmakers,krejčí,couturiers,NA,sarti,skreddere,krajčíri
drivers,řidiči,automobilistes,fahrer,automobilisti,sjåfører,vodiči
driving instructors,učitelé v autoškole,moniteurs d’auto-école,fahrlehrer,istruttori di guida,kjørelærere,inštruktori autoškôl
drug addicts,narkomani,toxicomanes,drogenabhängige,tossicodipendenti,narkomane,narkomani
drug dealers,dealeři drog,dealeurs de drogue,drogenhändler,spacciatori,langere,drogoví díleri
drummers,bubeníci,batteurs,schlagzeuger,batteristi,trommeslagere,bubeníci
economists,ekonomové,économistes,wirtschaftswissenschaftler,economisti,økonomer,ekonómovia
editors,editoři,éditeurs,herausgeber,redattori,redaktører,editori
educational psychologists,pedagogičtí psychologové,éducateurs spécialisés,pädagogische psychologen,psicologi dell’educazione,skolepsykologer,vzdelávací psychológovia
electricians,elektrikáři,électriciens,elektriker,elettricisti,elektrikere,elektrikári
embezzlers,defraudanti,escrocs,veruntreuer,malversatori,underslagere,defraudanti
engine-drivers,strojvedoucí,mécaniciens de train,lokführer,macchinisti,lokomotivførere,rušnovodiči
engineers,inženýři,ingénieurs,ingenieure,ingegneri,ingeniører,inžinieri
entertainers,konferenciéři,amuseurs,entertainer,intrattenitori,artister,konferencieri
environmentalists,ekologové,écologistes,umweltschützer,ecologisti,miljøaktivister,ekológovia
estate agents,realitní makléři,agents immobiliers,immobilienmakler,agenti immobiliari,eiendomsmeglere,realitní makléri
executives,vedoucí pracovníci,cadres,führungskräfte,impiegati esecutivi,direktører,vedúci pracovníci
executors,exekutoři,exécuteurs testamentaire,nachlassverwalter,esecutori testamentari,testamentfullbyrdere,exekútori
exercise instructors,instruktoři cvičení,professeurs de fitness,übungsleiter,istruttori di palestra,treningsinstruktører,inštruktori cvičenia
exotic dancers,tanečníci exotických tanců,danseurs exotiques,exotische tänzer,danzatori esotici,eksotiske dansere,exotickí tanečníci
explorers,badatelé,explorateurs,entdecker,esploratori,oppdagere,bádatelia
factory managers,ředitelé závodu,directeurs d’usine,werksleiter,direttori di stabilimento,fabrikkbestyrere,riaditelia závodu
fans,fanoušci,fans,fans,ammiratori,fans,fanúšici
farmers,zemědělci,agriculteurs,bauern,agricoltori,bønder,poľnohospodári
fashion models,manekýni/modelové,mannequins,mannequins,modelli,mannekenger,manekýni
fencers,šermíři,escrimeurs,fechter,schermitori,fektere,šermiari
fig. skaters,krasobruslaři,patineurs artistiques,eiskunstläufer,pattinatori artistici,kunstløpere,krasokorčuliari
film directors,filmoví režiséři,réalisateurs,filmregisseure,registi,filmregissører,filmoví režiséri
film stars,filmové hvězdy,vedettes de cinéma,filmstars,star del cinema,filmstjerner,filmové hviezdy
financial advisers,finanční poradci,conseillers financiers,finanzberater,consulenti finanziari,revisorer,finanční poradcovia
financial analysts,finanční analytici,analystes financiers,analysten,analisti finanziari,finansanalytikere,finanční analytici
firefighters,hasiči,pompiers,feuerwehrleute,vigili del fuoco,brannkonstabler,požiarnici
flight attendants,stevardi,stewards,flugbegleiter,assistenti di volo,kabinpersonale,stewardi
florists,květináři,fleuristes,floristen,fioristi,blomsterhandlere,kvetinári
flute players,flétnisti,flûtistes,flötenspieler,flautisti,fløytister,flautisti
football coaches,trenéři fotbalu,entraîneurs de foot,fussballtrainer,allenatori di calcio,fotballtrenere,futbaloví tréneri
football players,fotbalisti,footballeurs,fussballspieler,calciatori,fotballspillere,futbalisti
forensic psychologists,soudní psychologové,psychologues criminologues,forensische psychologen,psicologi forensi,rettspsykiatere,súdni psychológovia
forest rangers,myslivci,gardes-forestiers,förster,guardie forestali,skogsforvaltere,lesníci
fortune tellers,věštci,diseurs de bonne aventure,wahrsager,indovini,spåmenn,veštci
funeral directors,majitelé pohřebního ústavu,directeurs de pompes funèbres,bestattungsunternehmer,impresari di pompe funebri,gravferdskonsulenter,majitelia pohrebného ústavu
game wardens,revírníci,gardes-chasses,wildhüter,guardacaccia,skogvoktere,horári
gardeners,zahradníci,jardiniers,gärtner,giardinieri,gartnere,záhradníci
generals,generálové,généraux,generäle,generali,generaler,generáli
general managers,generální ředitelé,directeurs généraux,geschäftsführer,direttori generali,daglige ledere,generálni riaditelia
geologists,geologové,géologues,geologen,geologi,geologer,geológovia
goalkeepers,brankáři,gardiens de foot,torwarte,portieri di calcio,keepere,brankári
goldsmiths,zlatníci,orfèvres,goldschmiede,orefici,gullsmeder,zlatníci
golfers,golfisté,golfeurs,golfspieler,golfisti,golfspillere,golfisti
government officials,státní úředníci,fonctionnaires,regierungsbeamte,funzionari governativi,embetsmenn,štátni úradníci
governors,guvernéři,gouverneurs,gouverneure,governatori,guvernører,guvernéri
graphic designers,grafici,graphistes,grafikdesigner,grafici,grafiske designere,grafickí dizajnéri
groundkeepers,zahradníci,NA,platzwarte,custodi di giardini pubblici,NA,záhradníci
groupies,fanoušci,groupies,groupies,groupies,groupier,fanúšici
guards,strážci,surveillants,wächter,guardie,vakter,strážcovia
guitar players,kytaristé,guitaristes,gitarrenspieler,chitarristi,gitarspillere,gitaristi
gymnasts,gymnasté,gymnastes,turner,ginnasti,turnere,gymnasti
gynaecologists,gynekologové,gynécologues,frauenärzte,ginecologi,gynekologer,gynekológovia
hairdressers,kadeřníci,coiffeurs,friseure,parrucchieri,frisører,kaderníci
heads of department,vedoucí oddělení,chefs de département,abteilungsleiter,capi dipartimento,avdelingsledere,vedúci oddelenia
head teachers,ředitelé školy,directeurs d’école,schulleiter,presidi,rektorer,riaditelia škôl
health visitors,pečovatelé,infirmiers itinérants,gesundheitsberater,assistenti sociali,helsearbeidere,ošetrovatelia
heavy equipment operators,operátoři těžké techniky,opérateurs d’équipement lourd,baumaschinenführer,operatori di macchine pesanti,maskinister,operátori ťažkej techniky
historians,historici,historiens,historiker,storici,historikere,historici
history professors,profesoři historie,professeurs d’histoire,geschichtsprofessoren,professori di storia,historieprofessorer,profesori histórie
hitchhikers,stopaři,auto-stoppeurs,anhalter,autostoppisti,haikere,stopári
homeless persons,bezdomovci,sans-abri,obdachlose,senzatetto,hjemløse,bezdomovci
horse riders,jezdci na koních,cavaliers,reiter,cavallerizzi,ryttere,jazdci na koňoch
horse trainers,trenéři koní,dresseurs de chevaux,pferdetrainer,addestatori di cavalli,ridelærere,tréneri koní
hospital orderlies,zdravotníci,aides-soignants,NA,inservienti ospedalieri,portører,zdravotníci
hotel guests,hoteloví hosté,client d’hôtel,hotelgäste,ospiti d’albergo,hotellgjester,hoteloví hostia
hotel managers,ředitelé hotelu,gérants d’hôtel,hotelmanager,direttori d’albergo,hotelldirektører,riaditelia hotelov
housekeepers,hospodáři,gouvernant,haushälter,domestici,husholdere,gazdovia
humanitarians,humanitární pomocníci,humanitaires,menschenfreunde,benefattori,menneskevenner,humanitárni pomocníci
humanities professors,profesoři humanitních oborů,professeurs de lettres,professoren für geisteswissenschaften,professori di lettere,professorer i humanoria,profesori humanitných odborov
hunters,lovci,chasseurs,jäger,cacciatori,jegere,lovci
ice skaters,bruslaři,patineurs sur glace,eisläufer,pattinatori sul ghiaccio,skøyteløpere,korčuliari
infant teachers,učitelé ve školce,enseignants d’école primaire,kindergartenpädagogen,maestri d’asilo nido,NA,učitelia v škôlke
informants,informátoři,informateurs,informanten,informatori,informanter,spravodajcovia
inmates,chovanci,détenus,häftlinge,detenuti,innsatte,spolubývajúci
innkeepers,hostinští,aubergistes,gastwirte,albergatori,vertshusinnehavere,krčmári
interior decorators,bytoví architekti,décorateurs d’intérieur,innenausstatter,decoratori d’interni,interiørarkitekter,bytoví architekti
interpreters,tlumočníci,interprètes,dolmetscher,interpreti,tolker,tlmočníci
inventors,vynálezci,inventeurs,erfinder,inventori,oppfinnere,vynálezcovia
it consultants,it konzultanti,consultants informatiques,it-berater,consulenti informatici,it-konsulenter,it konzultanti
jailors,dozorci,geôliers,gefängniswärter,cercerieri,fangevoktere,dozorci vo väzení
janitors,školníci,concierges,hausmeister,bidelli,vaktmestere,školníci
jewelers,klenotníci,bijoutiers,juweliere,gioiellieri,juvelerer,klenotníci
job seekers,uchazeči o zaměstnání,chercheurs d’emploi,arbeitssuchende,disoccupati,jobbsøkere,uchádzači o zamestnanie
joggers,běžci,joggeurs,jogger,maratoneti,joggere,bežci
journalists,novináři,journalistes,journalisten,giornalisti,journalister,novinári
judges,soudci,juges,richter,giudici,dommere,sudcovia
jugglers,žongléři,jongleurs,jongleure,giocolieri,sjonglører,žongléri
jurors,porotci,jurés,jurymitglieder,giurati,jurymedlemmer,porotcovia
karaoke singers,zpěváci karaoke,chanteurs de karaoké,karaokesänger,cantanti di karaoke,karaokesangere,speváci karaoke
kids,děti (hoši),enfants,kinder,ragazzi,unger,NA
killers,vrahové,tueurs,totschläger,sicari,drapsmenn,vrahovia
kindergarten teachers,učitelé ve školce,enseignants de la petite enfance,kindergärtner,maestri d’asilo,barnehageansatte,učitelia v materskej škôlke
knitters,pletaři,tricoteurs,stricker,magliai,NA,pletiari
lab technicians,laboranti,techniciens de laboratoire,labortechniker,tecnici di laboratorio,laboratorieteknikere,laboranti
landscape gardeners,zahradní architekti,paysagistes,landschaftsgärtner,architetti per giardini,anleggsgartnere,záhradní architekti
law clerks,advokátní koncipienti,greffiers,rechtsanwaltsgehilfen,assistenti giudiziari,advokatsekretærer,advokátski koncipienti
law professors,profesoři práva,professeurs de droit,rechtsprofessoren,professori di diritto,jusprofessorer,profesori práva
lawyers,právníci,avocats,anwälte,avvocati,advokater,právnici
leaders,vedoucí,dirigeants,anführer,leader,ledere,vedúci
librarians,knihovníci,bibliothécaires,bibliothekare,bibliotecari,bibliotekarer,knihovníci
lieutenants,poručíci,lieutenants,leutnants,luogotenenti,løytnanter,poručíci
lifeguards,plavčíci,sauveteurs,rettungsschwimmer,bagnini,badevakter,plavčíci
lighthouse keepers,strážci majáku,gardiens de phare,leuchtturmwärter,guardiani del faro,fyrvoktere,strážcovia majákov
lodgers,nájemníci,locataires,mieter,inquilini,leieboere,nájomníci
lorry drivers,řidiči kamionů,camionneurs,lkw-fahrer,camionisti,lastebil sjåfører,vodiči kamiónov
magicians,kouzelníci,magiciens,zauberer,prestigiatori,tryllekunstnere,kúzelníci
magician’s assistants,asistenti kouzelníků,assistants de magicien,assistenten einer zaubershow,assistenti di prestigiatore,NA,asistenti kúzelníkov
make up artists,maskéři,maquilleurs,visagisten,truccatori,NA,maskéri
managers,manažeři,managers,manager,manager,managere,manažéri
manicurists,manikéři,manucures,nagelpfleger,manicure,manikyrister,manikéri
mathematicians,matematici,mathématiciens,mathematiker,matematici,matematikere,matematici
mayors,starostové,maires,bürgermeister,sindaci,ordførere,starostovia
mechanics,mechanici,mécaniciens,mechaniker,meccanici,mekanikere,mechanici
medical doctors,doktoři,docteurs,doktoren,medici,leger,doktori
members of the armed forces,opraváři,militaires,armeeangehörige,militari di leva,soldater,opravári
members of parliament,členové parlamentu,parlementaires,parlamentsabgeordnete,parlamentari,parlamentsmedlemmer,členovia parlamentu
metallurgists,hutníci,métallurgistes,metallurgen,metalmeccanici,metallurger,hutníci
meteorologists,meteorologové,météorologues,meteorologen,metereologi,meteorologer,meteorológovia
millionaires,milionáři,millionnaires homme,millionäre,milionari,millionærer,milionári
miners,horníci,mineurs,bergarbeiter,minatori,gruvearbeidere,baníci
models,modelové,modèles,models,modelli,modeller,modeli
mountain climbers,horolezci,alpinistes,bergsteiger,alpinisti,fjellklatrere,horolezci
murderers,vrahové,meurtriers,mörder,assassini,mordere,vrahovia
musicians,muzikanti,musiciens,musiker,musicisti,musikere,muzikanti
nannies,NA,NA,NA,NA,barnepassere,pestún
neighbours,sousedé,voisins,nachbarn,vicini di casa,naboer,susedia
neurologists,neurologové,neurologues,neurologen,neurologi,nevrologer,neurológovia
neurosurgeons,neurochirurgové,neurochirurgiens,neurochirurgen,neurochirurghi,nevrokirurger,neurochirurgovia
news readers,hlasatelé,présentateurs des informations,nachrichtensprecher,annunciatori televisivi,nyhetsopplesere,hlásatelia televíznych novín
novelists,prozaici,romanciers,romanautoren,romanzieri,skjønnlitterære forfattere,prozaici
nurses,zdravotní sestry,infirmiers,krankenpfleger,infermieri,sykepleiere,zdravotní bratia
nursery teachers,učitelé ve školce,éducateurs de la petite enfance,erzieher,maestri d’asilo nido,førskolelærere,učitelia v materskej škôlke
nutritionists,nutriční specialisti,nutritionnistes,ernährungswissenschaftler,nutrizionisti,ernæringsfysiologer,výživoví špecialisti
occupational therapists,ergoterapeuti,ergothérapeutes,ergotherapeuten,terapisti occupazionali,ergoterapeuter,ergoterapeuti
oceanographers,oceánografové,océanographes,meeresforscher,oceanografi,oseanografer,oceánografovia
office workers,administrativní pracovníci,employés de bureau,büroangestellte,impiegati d’ufficio,kontormedarbeidere,administratívni pracovníci
orchestra conductors,dirigenti,chefs d’orchestre,dirigenten,direttori d’orchestra,dirigenter,dirigenti
orthodontists,odborníci v ortodoncii,orthodontistes,kieferorthopäden,ortodontisti,reguleringstannleger,ortodontisti
palm readers,věštci z dlaně,chiromanciens,handleser,chiromanti,håndlesere,veštci z dlane
parachutists,parašutisté,parachutistes,fallschirmspringer,paracadutisti,fallskjermhoppere,parašutisti
parents,rodiče,parents,eltern,genitori,foreldre,rodičia
pastry chefs,cukráři,pâtissiers,konditoren,pasticceri,konditorer,cukrári
patients,pacienti,patients,patienten,pazienti,pasienter,pacienti
pawnbrokers,zástavárníci,prêteurs sur gage,pfandleiher,prestatori su pegno,pantelånere,pracovníci záložne
pedestrians,chodci,piétons,fußgänger,pedoni,fotgjengere,chodci
pediatricians,pediatři,pédiatres,kinderärzte,pediatri,barneleger,pediatri
pensioners,senioři,retraités,rentner,pensionati,pensjonister,dôchodcovia
persons,mužské osoby,personnes,personen,persone,personer,osoby
personal trainers,osobní trenéři,entraîneurs privés,fitnesstrainer,personal trainer,personlige trenere,osobní tréneri
pharmacists,farmaceuti,pharmaciens,apotheker,farmacisti,apotekere,farmaceuti
philanthropists,filantropové,philanthropes,philanthropen,filantropi,filantroper,filantropi
photographers,fotografové,photographes,fotografen,fotografi,fotografer,fotografi
physicians,doktoři/lékaři,médecins,mediziner,medici specialisti,leger,lekári
physicists,fyzici,physiciens,physiker,fisici,fysikere,fyzici
physics students,studenti fyziky,étudiants en physique,physikstudenten,studenti di fisica,fysikkstudenter,študenti fyziky
physiotherapists,fyzioterapeuti,physiothérapeutes,physiotherapeuten,fisioterapisti,fysioterapeuter,fyzioterapeuti
piano players,klavíristé,joueurs de piano,klavierspieler,pianisti,pianister,klaviristi
pilots,piloti,pilotes,piloten,piloti,piloter,piloti
playgroup leaders,vedoucí dětského kroužku,directeurs de garderie,krabbelgruppenleiter,capisquadra,NA,vedúci detského krúžku
plumbers,instalatéři,plombiers,klempner,idraulici,rørleggere,inštalatéri
poets,básníci,poètes,dichter,poeti,diktere,básnici
police inspectors,inspektoři,inspecteurs,kommissare,ispettori,inspektører,inšpektori
police officers,policisté,policiers,polizisten,poliziotti,politimenn,policajti
police sergeants,seržanti,sergents de police,polizeiobermeister,sergenti di polizia,overbetjenter,seržanti
political activists,političtí aktivisté,activistes politiques,politische aktivisten,attivisti politici,aktivister,politickí aktivisti
politicians,politici,politiciens,politiker,politici,politikere,politici
porters,portýři,bagagistes,gepäckträger,facchini,pikkoloer,vrátnici/nosiči
postal workers,pracovníci pošty,employés de poste,postangestellte,impiegati delle poste,postbetjenter,poštoví pracovníci
postmen,pošťáci,facteurs,postboten,postini,postbud,poštoví doručovatelia
presidents,prezidenti,présidents,präsidenten,presidenti,presidenter,prezidenti
priests,kazatelé,prêtres,priester,NA,prester,kňazi
primary school teachers,učitelé na základní škole,maîtres d’école primaire,grundschullehrer,maestri di scuola elementare,barneskolelærere,učitelia základných škôl
prison guards,vězenští dozorci,gardiens de prison,NA,secondini,fengselsbetjenter,väzenskí dozorcovia
prisoners,vězni,prisonniers,gefangene,carcerati,fanger,väzni
private detectives,NA,détectives privés,privatdetektive,investigatori privati,privatdetektiver,súkromní detektívi
probation officers,sociální kurátoři,agents de probation,bewährungshelfer,sorveglianti di persone in libertà vigilata,tilsynsførere,sociálni kurátori
professional athletes,profesionální sportovci,athlètes professionnels,profi-sportler,atleti professionisti,profesjonelle idrettsutøvere,profesionálni športovci
professors,profesoři,professeurs,professoren,professori,professorer,profesori
projectionists,promítači,projectionnistes,filmvorführer,proiezionisti,kinomaskinister,premietači
proofreaders,korektoři,correcteurs,korrekturleser,correttori di bozze,korrekturlesere,korektori
prostitutes,prostituti,prostitués,prostituierte,prostituti,prostituerte,prostitúti
protestors,demonstranti,manifestants,demonstranten,dimostranti,demonstranter,demonštranti
psychiatrists,psychiatři,psychiatres,psychiater,psichiatri,psykiatikere,psychiatri
psychology students,studenti psychologie,étudiants en psychologie,psychologiestudenten,studenti di psicologia,psykologistudenter,študenti psychológie
publishers,vydavatelé,éditeurs,verleger,editori,forleggere,vydavatelia
racing car drivers,řidiči závodních aut,pilotes de course,rennfahrer,piloti di auto da corsa,racerbilsjåfører,jazdci závodných aút
