word,language,gender,translation_id,word_id,translation
mechanic,spanish,M,t1,w1,mecánico
hunter,spanish,M,t1,w1,cazador
firefighter,spanish,M,t1,w1,bombero
dancer,farsi,M,t1,w1,رقاص،
nurse,farsi,M,t1,w1,پرستار
singer,farsi,M,t1,w1,خواننده
cleaner,farsi,M,t1,w1,کلفت
secretary,farsi,M,t1,w1,دبیر
waiter,farsi,M,t1,w1,پیشخدمت
journalist,farsi,M,t1,w1,روزنامه
baker,farsi,M,t1,w1,نانوا
author,farsi,M,t1,w1,نگارنده
athlete,farsi,M,t1,w1,ورزشکار
lawyer,farsi,M,t1,w1,وکیل
doctor/physician,farsi,M,t1,w1,پزشک
professor,farsi,M,t1,w1,استاد
governor,farsi,M,t1,w1,استاندار
judge,farsi,M,t1,w1,دادرس
sailor,farsi,M,t1,w1,ملوان
postman/postwoman,farsi,M,t1,w1,نامه
mechanic,farsi,M,t1,w1,مکانیک
hunter,farsi,M,t1,w1,شکارچی
firefighter,farsi,M,t1,w1,مامور
dancer,finnish,M,t1,w1,tanssija
nurse,finnish,M,t1,w1,sairaanhoitaja
singer,finnish,M,t1,w1,laulaja
cleaner,finnish,M,t1,w1,puhdistusaine
secretary,finnish,M,t1,w1,ministeri
waiter,finnish,M,t1,w1,tarjoilija
journalist,finnish,M,t1,w1,toimittaja
baker,finnish,M,t1,w1,leipuri
author,finnish,M,t1,w1,tekijä
athlete,finnish,M,t1,w1,atleetti
lawyer,finnish,M,t1,w1,asianajaja
doctor/physician,finnish,M,t1,w1,lääkäri
professor,finnish,M,t1,w1,opettaja
governor,finnish,M,t1,w1,kuvernööri
judge,finnish,M,t1,w1,tuomari
sailor,finnish,M,t1,w1,merimies
postman/postwoman,finnish,M,t1,w1,postinjakaja
mechanic,finnish,M,t1,w1,mekaanikko
hunter,finnish,M,t1,w1,metsästäjä
firefighter,finnish,M,t1,w1,palomies
dancer,french,M,t1,w1,danseur
nurse,french,M,t1,w1,infirmier
singer,french,M,t1,w1,chanteur
cleaner,french,M,t1,w1,homme
secretary,french,M,t1,w1,secrétaire
waiter,french,M,t1,w1,serveur
journalist,french,M,t1,w1,journaliste
baker,french,M,t1,w1,boulanger
author,french,M,t1,w1,auteur
athlete,french,M,t1,w1,athlète
lawyer,french,M,t1,w1,avocat
doctor/physician,french,M,t1,w1,docteur
professor,french,M,t1,w1,professeur
governor,french,M,t1,w1,directeur
judge,french,M,t1,w1,juge
sailor,french,M,t1,w1,pêcheur
postman/postwoman,french,M,t1,w1,facteur
mechanic,french,M,t1,w1,mécanicien
hunter,french,M,t1,w1,chasseur
firefighter,french,M,t1,w1,pompier
dancer,hebrew,M,t1,w1,רקדן
nurse,hebrew,M,t1,w1,אח
singer,hebrew,M,t1,w1,זמר
cleaner,hebrew,M,t1,w1,מנקה
secretary,hebrew,M,t1,w1,מזכיר
waiter,hebrew,M,t1,w1,מלצר
journalist,hebrew,M,t1,w1,עיתונאי
baker,hebrew,M,t1,w1,אופה
author,hebrew,M,t1,w1,סופר
athlete,hebrew,M,t1,w1,ספורטאי
lawyer,hebrew,M,t1,w1,עורך
doctor/physician,hebrew,M,t1,w1,רופא
professor,hebrew,M,t1,w1,פרופסור
governor,hebrew,M,t1,w1,מושל
judge,hebrew,M,t1,w1,שופט
sailor,hebrew,M,t1,w1,מלח
postman/postwoman,hebrew,M,t1,w1,דור
mechanic,hebrew,M,t1,w1,מכונאי
hunter,hebrew,M,t1,w1,צייד
firefighter,hebrew,M,t1,w1,כבאי
dancer,hindi,M,t1,w1,नर्तकी
nurse,hindi,M,t1,w1,नर्स
singer,hindi,M,t1,w1,गायक
cleaner,hindi,M,t1,w1,सफाईकर्मी
secretary,hindi,M,t1,w1,सहायक
waiter,hindi,M,t1,w1,वेटर
journalist,hindi,M,t1,w1,पत्रकार
baker,hindi,M,t1,w1,बेकर
author,hindi,M,t1,w1,लेखक
athlete,hindi,M,t1,w1,खिलाड़ी
lawyer,hindi,M,t1,w1,वकील
doctor/physician,hindi,M,t1,w1,चिकित्सक
professor,hindi,M,t1,w1,प्राध्यापक
governor,hindi,M,t1,w1,राज्यपाल
judge,hindi,M,t1,w1,न्यायाधीश
sailor,hindi,M,t1,w1,नाविक
postman/postwoman,hindi,M,t1,w1,डाकिया
mechanic,hindi,M,t1,w1,मिस्त्री
hunter,hindi,M,t1,w1,शिकारी
firefighter,hindi,M,t1,w1,अग्निशमन
dancer,"Serbian (latin)
",M,t1,w1,plesač
nurse,"Serbian (latin)
",M,t1,w1,medicinska
singer,"Serbian (latin)
",M,t1,w1,pevač
cleaner,"Serbian (latin)
",M,t1,w1,čistač
secretary,"Serbian (latin)
",M,t1,w1,sekretar
waiter,"Serbian (latin)
",M,t1,w1,konobar
journalist,"Serbian (latin)
",M,t1,w1,novinar
baker,"Serbian (latin)
",M,t1,w1,pekar
author,"Serbian (latin)
",M,t1,w1,autor
athlete,"Serbian (latin)
",M,t1,w1,sportista
lawyer,"Serbian (latin)
",M,t1,w1,advokat
doctor/physician,"Serbian (latin)
",M,t1,w1,doktor
professor,"Serbian (latin)
",M,t1,w1,profesor
governor,"Serbian (latin)
",M,t1,w1,guverner
judge,"Serbian (latin)
",M,t1,w1,sudija
sailor,"Serbian (latin)
",M,t1,w1,mornar
postman/postwoman,"Serbian (latin)
",M,t1,w1,poštar
mechanic,"Serbian (latin)
",M,t1,w1,mehaničar
hunter,"Serbian (latin)
",M,t1,w1,lovac
firefighter,"Serbian (latin)
",M,t1,w1,vatrogasac
dancer,serbian (cyrillic),M,t1,w1,плесач
nurse,serbian (cyrillic),M,t1,w1,медицинска
singer,serbian (cyrillic),M,t1,w1,певач
cleaner,serbian (cyrillic),M,t1,w1,чистач
secretary,serbian (cyrillic),M,t1,w1,секретар
waiter,serbian (cyrillic),M,t1,w1,конобар
journalist,serbian (cyrillic),M,t1,w1,новинар
baker,serbian (cyrillic),M,t1,w1,пекар
author,serbian (cyrillic),M,t1,w1,аутор
athlete,serbian (cyrillic),M,t1,w1,спортиста
lawyer,serbian (cyrillic),M,t1,w1,адвокат
doctor/physician,serbian (cyrillic),M,t1,w1,доктор
professor,serbian (cyrillic),M,t1,w1,професор
governor,serbian (cyrillic),M,t1,w1,гувернер
judge,serbian (cyrillic),M,t1,w1,судија
sailor,serbian (cyrillic),M,t1,w1,морнар
postman/postwoman,serbian (cyrillic),M,t1,w1,поштар
mechanic,serbian (cyrillic),M,t1,w1,механичар
hunter,serbian (cyrillic),M,t1,w1,ловац
firefighter,serbian (cyrillic),M,t1,w1,ватрогасац
dancer,indonesian,M,t1,w1,penari
nurse,indonesian,M,t1,w1,perawat
singer,indonesian,M,t1,w1,penyanyi
cleaner,indonesian,M,t1,w1,petugas
secretary,indonesian,M,t1,w1,sekretaris
waiter,indonesian,M,t1,w1,pelayan
journalist,indonesian,M,t1,w1,jurnalis
baker,indonesian,M,t1,w1,tukang
author,indonesian,M,t1,w1,pengarang
athlete,indonesian,M,t1,w1,atlet
lawyer,indonesian,M,t1,w1,pengacara
doctor/physician,indonesian,M,t1,w1,dokter
professor,indonesian,M,t1,w1,profesor
governor,indonesian,M,t1,w1,gubernur
judge,indonesian,M,t1,w1,mengadili
sailor,indonesian,M,t1,w1,kelasi
postman/postwoman,indonesian,M,t1,w1,tukang
mechanic,indonesian,M,t1,w1,montir
hunter,indonesian,M,t1,w1,berburu
firefighter,indonesian,M,t1,w1,petugas
dancer,italian,M,t1,w1,ballerino
nurse,italian,M,t1,w1,infermiere
singer,italian,M,t1,w1,cantante
cleaner,italian,M,t1,w1,inserviente
secretary,italian,M,t1,w1,segretario
waiter,italian,M,t1,w1,cameriere
journalist,italian,M,t1,w1,giornalista
baker,italian,M,t1,w1,fornaio
author,italian,M,t1,w1,autore
athlete,italian,M,t1,w1,atleta
lawyer,italian,M,t1,w1,avvocato
doctor/physician,italian,M,t1,w1,dottore
professor,italian,M,t1,w1,professore
governor,italian,M,t1,w1,governatore
judge,italian,M,t1,w1,giudice
sailor,italian,M,t1,w1,marinaio
postman/postwoman,italian,M,t1,w1,postino
mechanic,italian,M,t1,w1,meccanico
hunter,italian,M,t1,w1,cacciatore
firefighter,italian,M,t1,w1,pompiere
dancer,japanese,M,t1,w1,ダンサ
nurse,japanese,M,t1,w1,看護師
singer,japanese,M,t1,w1,歌手
cleaner,japanese,M,t1,w1,清掃員
secretary,japanese,M,t1,w1,秘書
waiter,japanese,M,t1,w1,ウェイタ
journalist,japanese,M,t1,w1,記者
baker,japanese,M,t1,w1,パン屋
author,japanese,M,t1,w1,作者
athlete,japanese,M,t1,w1,選手
lawyer,japanese,M,t1,w1,弁護士
doctor/physician,japanese,M,t1,w1,医者
professor,japanese,M,t1,w1,教授
governor,japanese,M,t1,w1,知事
judge,japanese,M,t1,w1,裁判官
sailor,japanese,M,t1,w1,船員
postman/postwoman,japanese,M,t1,w1,郵便配達員
mechanic,japanese,M,t1,w1,メカニック
hunter,japanese,M,t1,w1,猟師
firefighter,japanese,M,t1,w1,消防士
dancer,dutch,M,t1,w1,danser
nurse,dutch,M,t1,w1,broeder
singer,dutch,M,t1,w1,zanger
cleaner,dutch,M,t1,w1,schoonmaker
secretary,dutch,M,t1,w1,secretaris
waiter,dutch,M,t1,w1,ober
journalist,dutch,M,t1,w1,journalist
baker,dutch,M,t1,w1,bakker
author,dutch,M,t1,w1,schrijver
athlete,dutch,M,t1,w1,atleet
lawyer,dutch,M,t1,w1,advocaat
doctor/physician,dutch,M,t1,w1,arts
professor,dutch,M,t1,w1,professor
governor,dutch,M,t1,w1,gouverneur
judge,dutch,M,t1,w1,rechter
sailor,dutch,M,t1,w1,zeiler
postman/postwoman,dutch,M,t1,w1,postbode
mechanic,dutch,M,t1,w1,monteur
hunter,dutch,M,t1,w1,jager
firefighter,dutch,M,t1,w1,brandweerman
dancer,malay,M,t1,w1,penari
nurse,malay,M,t1,w1,jururawat
singer,malay,M,t1,w1,penyanyi
cleaner,malay,M,t1,w1,pembersih
secretary,malay,M,t1,w1,setiausaha
waiter,malay,M,t1,w1,pelayan
journalist,malay,M,t1,w1,wartawan
baker,malay,M,t1,w1,pembakar
author,malay,M,t1,w1,penulis
athlete,malay,M,t1,w1,atlet
lawyer,malay,M,t1,w1,peguam
doctor/physician,malay,M,t1,w1,doktor
professor,malay,M,t1,w1,profesor
governor,malay,M,t1,w1,pemerintah
judge,malay,M,t1,w1,hakim
sailor,malay,M,t1,w1,pelayar
postman/postwoman,malay,M,t1,w1,posmen
mechanic,malay,M,t1,w1,mekanik
hunter,malay,M,t1,w1,pemburu
firefighter,malay,M,t1,w1,ahli
dancer,korean,M,t1,w1,댄서
nurse,korean,M,t1,w1,간호사
singer,korean,M,t1,w1,가수
cleaner,korean,M,t1,w1,청소부
secretary,korean,M,t1,w1,비서
waiter,korean,M,t1,w1,종업원
baker,korean,M,t1,w1,제빵사
author,korean,M,t1,w1,작가
athlete,korean,M,t1,w1,선수
lawyer,korean,M,t1,w1,변호사
doctor/physician,korean,M,t1,w1,의사
professor,korean,M,t1,w1,교수님
governor,korean,M,t1,w1,지배자
judge,korean,M,t1,w1,판사
sailor,korean,M,t1,w1,선원
postman/postwoman,korean,M,t1,w1,우편집배원
mechanic,korean,M,t1,w1,정비공
hunter,korean,M,t1,w1,사냥꾼
firefighter,korean,M,t1,w1,소방관
dancer,norwegian,M,t1,w1,danser
nurse,norwegian,M,t1,w1,skyepleier
singer,norwegian,M,t1,w1,sanger
cleaner,norwegian,M,t1,w1,hushjelp
secretary,norwegian,M,t1,w1,sekretær
waiter,norwegian,M,t1,w1,oppvarter
journalist,norwegian,M,t1,w1,journalist
baker,norwegian,M,t1,w1,baker
author,norwegian,M,t1,w1,forfatter
athlete,norwegian,M,t1,w1,atlet
lawyer,norwegian,M,t1,w1,jurist
doctor/physician,norwegian,M,t1,w1,doktor
professor,norwegian,M,t1,w1,professor
governor,norwegian,M,t1,w1,guvernør
judge,norwegian,M,t1,w1,dommer
sailor,norwegian,M,t1,w1,sjømann
postman/postwoman,norwegian,M,t1,w1,postbud
mechanic,norwegian,M,t1,w1,mekaniker
hunter,norwegian,M,t1,w1,jeger
firefighter,norwegian,M,t1,w1,brannmann
dancer,polish,M,t1,w1,tańcerz
nurse,polish,M,t1,w1,pielęgniarz
singer,polish,M,t1,w1,śpiewasz
cleaner,polish,M,t1,w1,sprzątacz
secretary,polish,M,t1,w1,sekretarz
waiter,polish,M,t1,w1,kelner
journalist,polish,M,t1,w1,dziennikarz
baker,polish,M,t1,w1,piekarz
author,polish,M,t1,w1,pisarz
athlete,polish,M,t1,w1,atleta
lawyer,polish,M,t1,w1,prawnik
doctor/physician,polish,M,t1,w1,doktor
professor,polish,M,t1,w1,profesor
governor,polish,M,t1,w1,wojewoda
judge,polish,M,t1,w1,sędzia
sailor,polish,M,t1,w1,żeglarz
postman/postwoman,polish,M,t1,w1,listonosz
mechanic,polish,M,t1,w1,mechanik
hunter,polish,M,t1,w1,myśliwy
firefighter,polish,M,t1,w1,strażak
dancer,portuguese,M,t1,w1,dançarino
nurse,portuguese,M,t1,w1,enfermeiro
singer,portuguese,M,t1,w1,cantor
cleaner,portuguese,M,t1,w1,faxineiro
secretary,portuguese,M,t1,w1,secretário
waiter,portuguese,M,t1,w1,garçom
journalist,portuguese,M,t1,w1,jornalista
baker,portuguese,M,t1,w1,padeiro
author,portuguese,M,t1,w1,autor
athlete,portuguese,M,t1,w1,atleta
lawyer,portuguese,M,t1,w1,advogado
doctor/physician,portuguese,M,t1,w1,médico
professor,portuguese,M,t1,w1,professor
governor,portuguese,M,t1,w1,governador
judge,portuguese,M,t1,w1,juiz
sailor,portuguese,M,t1,w1,marinheiro
postman/postwoman,portuguese,M,t1,w1,carteiro
mechanic,portuguese,M,t1,w1,mecânico
hunter,portuguese,M,t1,w1,caçador
firefighter,portuguese,M,t1,w1,bombeiro
dancer,romanian,M,t1,w1,dansator
nurse,romanian,M,t1,w1,infirmieră
singer,romanian,M,t1,w1,cântăreţ
secretary,romanian,M,t1,w1,secretar
waiter,romanian,M,t1,w1,chelner
journalist,romanian,M,t1,w1,jurnalist
baker,romanian,M,t1,w1,brutar
author,romanian,M,t1,w1,autor
athlete,romanian,M,t1,w1,atlet
lawyer,romanian,M,t1,w1,avocat
doctor/physician,romanian,M,t1,w1,medic
professor,romanian,M,t1,w1,profesor
governor,romanian,M,t1,w1,guvernator
judge,romanian,M,t1,w1,judecător
sailor,romanian,M,t1,w1,marinar
postman/postwoman,romanian,M,t1,w1,postas
mechanic,romanian,M,t1,w1,maşinist
hunter,romanian,M,t1,w1,vânător
firefighter,romanian,M,t1,w1,pompier
dancer,swedish,M,t1,w1,dansare
nurse,swedish,M,t1,w1,sjukskötare
singer,swedish,M,t1,w1,sångare
cleaner,swedish,M,t1,w1,städare
secretary,swedish,M,t1,w1,sekreterare
waiter,swedish,M,t1,w1,servitör
journalist,swedish,M,t1,w1,journalist
baker,swedish,M,t1,w1,bagare
author,swedish,M,t1,w1,författare
athlete,swedish,M,t1,w1,idrottare
lawyer,swedish,M,t1,w1,jurist
doctor/physician,swedish,M,t1,w1,doktor
professor,swedish,M,t1,w1,professor
governor,swedish,M,t1,w1,guvernör
judge,swedish,M,t1,w1,domare
sailor,swedish,M,t1,w1,sjöman
postman/postwoman,swedish,M,t1,w1,brevbärare
mechanic,swedish,M,t1,w1,mekaniker
hunter,swedish,M,t1,w1,jägare
firefighter,swedish,M,t1,w1,brandman
dancer,tagalog,M,t1,w1,mananayaw
nurse,tagalog,M,t1,w1,nars
singer,tagalog,M,t1,w1,mang
cleaner,tagalog,M,t1,w1,katulong
secretary,tagalog,M,t1,w1,sekretarya
waiter,tagalog,M,t1,w1,serbidor
journalist,tagalog,M,t1,w1,peryodista
baker,tagalog,M,t1,w1,magtitinapay
author,tagalog,M,t1,w1,autor
athlete,tagalog,M,t1,w1,manlalaro
lawyer,tagalog,M,t1,w1,abogado
doctor/physician,tagalog,M,t1,w1,doktor
professor,tagalog,M,t1,w1,dalubguro
governor,tagalog,M,t1,w1,gobernador
judge,tagalog,M,t1,w1,hukom
sailor,tagalog,M,t1,w1,mandaragat
postman/postwoman,tagalog,M,t1,w1,kartero
mechanic,tagalog,M,t1,w1,mekaniko
hunter,tagalog,M,t1,w1,mangangaso
firefighter,tagalog,M,t1,w1,bumbero
dancer,turkish,M,t1,w1,dansçi
nurse,turkish,M,t1,w1,hemşire
singer,turkish,M,t1,w1,şarkıcı
cleaner,turkish,M,t1,w1,temizleyici
secretary,turkish,M,t1,w1,sekreter
waiter,turkish,M,t1,w1,garson
journalist,turkish,M,t1,w1,gazeteci
baker,turkish,M,t1,w1,fırıncı
author,turkish,M,t1,w1,yazar
athlete,turkish,M,t1,w1,atlet
lawyer,turkish,M,t1,w1,avukat
doctor/physician,turkish,M,t1,w1,doktor
professor,turkish,M,t1,w1,profesör
governor,turkish,M,t1,w1,vali
judge,turkish,M,t1,w1,hâkim
sailor,turkish,M,t1,w1,denizci
postman/postwoman,turkish,M,t1,w1,postacı
mechanic,turkish,M,t1,w1,makinist
hunter,turkish,M,t1,w1,avcı
firefighter,turkish,M,t1,w1,itfaiyeci
dancer,chinese,M,t1,w1,舞者
nurse,chinese,M,t1,w1,护士
singer,chinese,M,t1,w1,歌手
cleaner,chinese,M,t1,w1,保洁员
secretary,chinese,M,t1,w1,秘书
waiter,chinese,M,t1,w1,服务员
journalist,chinese,M,t1,w1,记者
baker,chinese,M,t1,w1,糕点师
author,chinese,M,t1,w1,作家
athlete,chinese,M,t1,w1,运动员
lawyer,chinese,M,t1,w1,律师
doctor/physician,chinese,M,t1,w1,医生
professor,chinese,M,t1,w1,教授
judge,chinese,M,t1,w1,法官
sailor,chinese,M,t1,w1,船员
postman/postwoman,chinese,M,t1,w1,邮递员
mechanic,chinese,M,t1,w1,技工
hunter,chinese,M,t1,w1,猎人
firefighter,chinese,M,t1,w1,消防员
dancer,zulu,M,t1,w1,umdansi
nurse,zulu,M,t1,w1,umhlengikazi
singer,zulu,M,t1,w1,umculi
secretary,zulu,M,t1,w1,unobhalajikelele
waiter,zulu,M,t1,w1,uweta
journalist,zulu,M,t1,w1,intatheli
baker,zulu,M,t1,w1,umbhaki
author,zulu,M,t1,w1,umenzi
athlete,zulu,M,t1,w1,umbaleki
lawyer,zulu,M,t1,w1,ummeli
doctor/physician,zulu,M,t1,w1,udokotela
professor,zulu,M,t1,w1,usolwazi
governor,zulu,M,t1,w1,umbusi
judge,zulu,M,t1,w1,umehluleli
sailor,zulu,M,t1,w1,itilosi
postman/postwoman,zulu,M,t1,w1,okuthwala
mechanic,zulu,M,t1,w1,umakheniki
hunter,zulu,M,t1,w1,umzingeli
firefighter,zulu,M,t1,w1,umacishumlilo
dancer,german,M,t1,w1,tänzer
nurse,german,M,t1,w1,pfleger
singer,german,M,t1,w1,sänger
cleaner,german,M,t1,w1,reinigungskraft
secretary,german,M,t1,w1,sekretär
waiter,german,M,t1,w1,bedienung
journalist,german,M,t1,w1,journalist
baker,german,M,t1,w1,bäcker
author,german,M,t1,w1,schriftsteller
athlete,german,M,t1,w1,sportler
lawyer,german,M,t1,w1,rechtsanwalt
doctor/physician,german,M,t1,w1,arzt
professor,german,M,t1,w1,professor
governor,german,M,t1,w1,gouverneur
judge,german,M,t1,w1,richter
sailor,german,M,t1,w1,seemann
postman/postwoman,german,M,t1,w1,briefträger
mechanic,german,M,t1,w1,mechaniker
hunter,german,M,t1,w1,jäger
firefighter,german,M,t1,w1,feuerwehrmann
dancer,english,F,t1,w1,dancer
nurse,english,F,t1,w1,nurse
singer,english,F,t1,w1,singer
cleaner,english,F,t1,w1,cleaner
secretary,english,F,t1,w1,secretary
waiter,english,F,t1,w1,waitress
journalist,english,F,t1,w1,journalist
baker,english,F,t1,w1,baker
author,english,F,t1,w1,authoress
athlete,english,F,t1,w1,athlete
lawyer,english,F,t1,w1,lawyer
doctor/physician,english,F,t1,w1,doctor
professor,english,F,t1,w1,professor
governor,english,F,t1,w1,governor
judge,english,F,t1,w1,judge
sailor,english,F,t1,w1,sailor
postman/postwoman,english,F,t1,w1,postwoman
mechanic,english,F,t1,w1,mechanic
hunter,english,F,t1,w1,hunter
firefighter,english,F,t1,w1,firefighter
dancer,arabic,F,t1,w1,راقصة
nurse,arabic,F,t1,w1,ممرضة
singer,arabic,F,t1,w1,مطرب
cleaner,arabic,F,t1,w1,منظف
secretary,arabic,F,t1,w1,سكرتير
waiter,arabic,F,t1,w1,نادل
journalist,arabic,F,t1,w1,صحافي
baker,arabic,F,t1,w1,خباز
author,arabic,F,t1,w1,مؤلف
athlete,arabic,F,t1,w1,رياضي
lawyer,arabic,F,t1,w1,المحامية
doctor/physician,arabic,F,t1,w1,طبيب
professor,arabic,F,t1,w1,دكتور
governor,arabic,F,t1,w1,محافظ
judge,arabic,F,t1,w1,القاضي
sailor,arabic,F,t1,w1,بحار
postman/postwoman,arabic,F,t1,w1,ساعي
mechanic,arabic,F,t1,w1,الميكانيكي
hunter,arabic,F,t1,w1,صياد
firefighter,arabic,F,t1,w1,رجال
dancer,danish,F,t1,w1,danserinde
nurse,danish,F,t1,w1,sygeplejerske
singer,danish,F,t1,w1,sangerinde
cleaner,danish,F,t1,w1,rengøringsdame
secretary,danish,F,t1,w1,sekratær
waiter,danish,F,t1,w1,tjenerinde
journalist,danish,F,t1,w1,journalist
baker,danish,F,t1,w1,bager
author,danish,F,t1,w1,forfatterinde
athlete,danish,F,t1,w1,atlet
lawyer,danish,F,t1,w1,advokat
doctor/physician,danish,F,t1,w1,læge
professor,danish,F,t1,w1,porfessor
governor,danish,F,t1,w1,guvernør
judge,danish,F,t1,w1,dommer
sailor,danish,F,t1,w1,sejler
postman/postwoman,danish,F,t1,w1,postbud
mechanic,danish,F,t1,w1,mekaniker
hunter,danish,F,t1,w1,jæger
firefighter,danish,F,t1,w1,brandmand
dancer,spanish,F,t1,w1,bailarina
nurse,spanish,F,t1,w1,enfermera
singer,spanish,F,t1,w1,cantante
cleaner,spanish,F,t1,w1,limpiadora
secretary,spanish,F,t1,w1,secretaria
waiter,spanish,F,t1,w1,camarera
journalist,spanish,F,t1,w1,periodista
baker,spanish,F,t1,w1,panadera
author,spanish,F,t1,w1,autora
athlete,spanish,F,t1,w1,atleta
lawyer,spanish,F,t1,w1,abogada
doctor/physician,spanish,F,t1,w1,doctora
professor,spanish,F,t1,w1,profesora
governor,spanish,F,t1,w1,gobernadora
judge,spanish,F,t1,w1,jueza
sailor,spanish,F,t1,w1,marinera
postman/postwoman,spanish,F,t1,w1,cartera
mechanic,spanish,F,t1,w1,mecánica
hunter,spanish,F,t1,w1,cazadora
firefighter,spanish,F,t1,w1,bombera
dancer,farsi,F,t1,w1,رقاص،
nurse,farsi,F,t1,w1,پرستار
singer,farsi,F,t1,w1,خواننده
cleaner,farsi,F,t1,w1,کلفت
secretary,farsi,F,t1,w1,دبیر
waiter,farsi,F,t1,w1,پیشخدمت
journalist,farsi,F,t1,w1,روزنامه
baker,farsi,F,t1,w1,نانوا
author,farsi,F,t1,w1,نگارنده
athlete,farsi,F,t1,w1,ورزشکار
lawyer,farsi,F,t1,w1,وکیل
doctor/physician,farsi,F,t1,w1,پزشک
professor,farsi,F,t1,w1,استاد
governor,farsi,F,t1,w1,استاندار
judge,farsi,F,t1,w1,دادرس
sailor,farsi,F,t1,w1,ملوان
postman/postwoman,farsi,F,t1,w1,نامه
mechanic,farsi,F,t1,w1,مکانیک
hunter,farsi,F,t1,w1,شکارچی
firefighter,farsi,F,t1,w1,مامور
dancer,finnish,F,t1,w1,tanssija
nurse,finnish,F,t1,w1,sairaanhoitaja
singer,finnish,F,t1,w1,laulaja
cleaner,finnish,F,t1,w1,puhdistusaine
secretary,finnish,F,t1,w1,ministeri
waiter,finnish,F,t1,w1,tarjoilijatar
journalist,finnish,F,t1,w1,toimittaja
baker,finnish,F,t1,w1,leipuri
author,finnish,F,t1,w1,tekijä
athlete,finnish,F,t1,w1,atleetti
lawyer,finnish,F,t1,w1,asianajaja
doctor/physician,finnish,F,t1,w1,lääkäri
professor,finnish,F,t1,w1,opettaja
governor,finnish,F,t1,w1,kuvernööri
judge,finnish,F,t1,w1,tuomari
sailor,finnish,F,t1,w1,merimies
postman/postwoman,finnish,F,t1,w1,postinjakaja
mechanic,finnish,F,t1,w1,mekaanikko
hunter,finnish,F,t1,w1,metsästäjä
firefighter,finnish,F,t1,w1,palomies
dancer,french,F,t1,w1,danseuse
nurse,french,F,t1,w1,infirmière
singer,french,F,t1,w1,chanteuse
cleaner,french,F,t1,w1,femme
secretary,french,F,t1,w1,secrétaire
waiter,french,F,t1,w1,serveuse
journalist,french,F,t1,w1,journaliste
