word,language,gender,translation_id,word_id,translation,translation_type
professor,spanish,M,t1,w1,profesor,single
governor,spanish,M,t1,w1,gobernador,single
judge,spanish,M,t1,w1,juez,single
sailor,spanish,M,t1,w1,marinero,single
postman/postwoman,spanish,M,t1,w1,cartero,single
mechanic,spanish,M,t1,w1,mecánico,single
hunter,spanish,M,t1,w1,cazador,single
firefighter,spanish,M,t1,w1,bombero,single
dancer,farsi,M,t1,w1,رقاص،_رقصگر،_رامشگر,concatenated_multi
nurse,farsi,M,t1,w1,پرستار,single
singer,farsi,M,t1,w1,خواننده,single
cleaner,farsi,M,t1,w1,کلفت_خانه,concatenated_multi
secretary,farsi,M,t1,w1,دبیر,single
waiter,farsi,M,t1,w1,پیشخدمت,single
journalist,farsi,M,t1,w1,روزنامه_نگار,concatenated_multi
baker,farsi,M,t1,w1,نانوا,single
author,farsi,M,t1,w1,نگارنده,single
athlete,farsi,M,t1,w1,ورزشکار,single
lawyer,farsi,M,t1,w1,وکیل_دادگستری,concatenated_multi
doctor/physician,farsi,M,t1,w1,پزشک,single
professor,farsi,M,t1,w1,استاد,single
governor,farsi,M,t1,w1,استاندار,single
judge,farsi,M,t1,w1,دادرس,single
sailor,farsi,M,t1,w1,ملوان,single
postman/postwoman,farsi,M,t1,w1,نامه_رسان,concatenated_multi
mechanic,farsi,M,t1,w1,مکانیک,single
hunter,farsi,M,t1,w1,شکارچی,single
firefighter,farsi,M,t1,w1,مامور_آتش_نشانی,concatenated_multi
dancer,finnish,M,t1,w1,tanssija,single
nurse,finnish,M,t1,w1,sairaanhoitaja,single
singer,finnish,M,t1,w1,laulaja,single
cleaner,finnish,M,t1,w1,puhdistusaine,single
secretary,finnish,M,t1,w1,ministeri,single
waiter,finnish,M,t1,w1,tarjoilija,single
journalist,finnish,M,t1,w1,toimittaja,single
baker,finnish,M,t1,w1,leipuri,single
author,finnish,M,t1,w1,tekijä,single
athlete,finnish,M,t1,w1,atleetti,single
lawyer,finnish,M,t1,w1,asianajaja,single
doctor/physician,finnish,M,t1,w1,lääkäri,single
professor,finnish,M,t1,w1,opettaja,single
governor,finnish,M,t1,w1,kuvernööri,single
judge,finnish,M,t1,w1,tuomari,single
sailor,finnish,M,t1,w1,merimies,single
postman/postwoman,finnish,M,t1,w1,postinjakaja,single
mechanic,finnish,M,t1,w1,mekaanikko,single
hunter,finnish,M,t1,w1,metsästäjä,single
firefighter,finnish,M,t1,w1,palomies,single
dancer,french,M,t1,w1,danseur,single
nurse,french,M,t1,w1,infirmier,single
singer,french,M,t1,w1,chanteur,single
cleaner,french,M,t1,w1,homme_de_ménage,concatenated_multi
secretary,french,M,t1,w1,secrétaire,single
waiter,french,M,t1,w1,serveur,single
journalist,french,M,t1,w1,journaliste,single
baker,french,M,t1,w1,boulanger,single
author,french,M,t1,w1,auteur,single
athlete,french,M,t1,w1,athlète,single
lawyer,french,M,t1,w1,avocat,single
doctor/physician,french,M,t1,w1,docteur,single
professor,french,M,t1,w1,professeur,single
governor,french,M,t1,w1,directeur,single
judge,french,M,t1,w1,juge,single
sailor,french,M,t1,w1,pêcheur,single
postman/postwoman,french,M,t1,w1,facteur,single
mechanic,french,M,t1,w1,mécanicien,single
hunter,french,M,t1,w1,chasseur,single
firefighter,french,M,t1,w1,pompier,single
dancer,hebrew,M,t1,w1,רקדן,single
nurse,hebrew,M,t1,w1,אח,single
singer,hebrew,M,t1,w1,זמר,single
cleaner,hebrew,M,t1,w1,מנקה,single
secretary,hebrew,M,t1,w1,מזכיר,single
waiter,hebrew,M,t1,w1,מלצר,single
journalist,hebrew,M,t1,w1,עיתונאי,single
baker,hebrew,M,t1,w1,אופה,single
author,hebrew,M,t1,w1,סופר,single
athlete,hebrew,M,t1,w1,ספורטאי,single
lawyer,hebrew,M,t1,w1,עורך_דין,concatenated_multi
doctor/physician,hebrew,M,t1,w1,רופא,single
professor,hebrew,M,t1,w1,פרופסור,single
governor,hebrew,M,t1,w1,מושל,single
judge,hebrew,M,t1,w1,שופט,single
sailor,hebrew,M,t1,w1,מלח,single
postman/postwoman,hebrew,M,t1,w1,דור,single
mechanic,hebrew,M,t1,w1,מכונאי,single
hunter,hebrew,M,t1,w1,צייד,single
firefighter,hebrew,M,t1,w1,כבאי,single
dancer,hindi,M,t1,w1,नर्तकी,single
nurse,hindi,M,t1,w1,नर्स,single
singer,hindi,M,t1,w1,गायक,single
cleaner,hindi,M,t1,w1,सफाईकर्मी,single
secretary,hindi,M,t1,w1,सहायक,single
waiter,hindi,M,t1,w1,वेटर,single
journalist,hindi,M,t1,w1,पत्रकार,single
baker,hindi,M,t1,w1,बेकर,single
author,hindi,M,t1,w1,लेखक,single
athlete,hindi,M,t1,w1,खिलाड़ी,single
lawyer,hindi,M,t1,w1,वकील,single
doctor/physician,hindi,M,t1,w1,चिकित्सक,single
professor,hindi,M,t1,w1,प्राध्यापक,single
governor,hindi,M,t1,w1,राज्यपाल,single
judge,hindi,M,t1,w1,न्यायाधीश,single
sailor,hindi,M,t1,w1,नाविक,single
postman/postwoman,hindi,M,t1,w1,डाकिया,single
mechanic,hindi,M,t1,w1,मिस्त्री,single
hunter,hindi,M,t1,w1,शिकारी,single
firefighter,hindi,M,t1,w1,अग्निशमन_कर्मचारी,concatenated_multi
dancer,"Serbian (latin)
",M,t1,w1,plesač,single
nurse,"Serbian (latin)
",M,t1,w1,medicinska_sestra,concatenated_multi
singer,"Serbian (latin)
",M,t1,w1,pevač,single
cleaner,"Serbian (latin)
",M,t1,w1,čistač,single
secretary,"Serbian (latin)
",M,t1,w1,sekretar,single
waiter,"Serbian (latin)
",M,t1,w1,konobar,single
journalist,"Serbian (latin)
",M,t1,w1,novinar,single
baker,"Serbian (latin)
",M,t1,w1,pekar,single
author,"Serbian (latin)
",M,t1,w1,autor,single
athlete,"Serbian (latin)
",M,t1,w1,sportista,single
lawyer,"Serbian (latin)
",M,t1,w1,advokat,single
doctor/physician,"Serbian (latin)
",M,t1,w1,doktor,single
professor,"Serbian (latin)
",M,t1,w1,profesor,single
governor,"Serbian (latin)
",M,t1,w1,guverner,single
judge,"Serbian (latin)
",M,t1,w1,sudija,single
sailor,"Serbian (latin)
",M,t1,w1,mornar,single
postman/postwoman,"Serbian (latin)
",M,t1,w1,poštar,single
mechanic,"Serbian (latin)
",M,t1,w1,mehaničar,single
hunter,"Serbian (latin)
",M,t1,w1,lovac,single
firefighter,"Serbian (latin)
",M,t1,w1,vatrogasac,single
dancer,serbian (cyrillic),M,t1,w1,плесач,single
nurse,serbian (cyrillic),M,t1,w1,медицинска_сестра,concatenated_multi
singer,serbian (cyrillic),M,t1,w1,певач,single
cleaner,serbian (cyrillic),M,t1,w1,чистач,single
secretary,serbian (cyrillic),M,t1,w1,секретар,single
waiter,serbian (cyrillic),M,t1,w1,конобар,single
journalist,serbian (cyrillic),M,t1,w1,новинар,single
baker,serbian (cyrillic),M,t1,w1,пекар,single
author,serbian (cyrillic),M,t1,w1,аутор,single
athlete,serbian (cyrillic),M,t1,w1,спортиста,single
lawyer,serbian (cyrillic),M,t1,w1,адвокат,single
doctor/physician,serbian (cyrillic),M,t1,w1,доктор,single
professor,serbian (cyrillic),M,t1,w1,професор,single
governor,serbian (cyrillic),M,t1,w1,гувернер,single
judge,serbian (cyrillic),M,t1,w1,судија,single
sailor,serbian (cyrillic),M,t1,w1,морнар,single
postman/postwoman,serbian (cyrillic),M,t1,w1,поштар,single
mechanic,serbian (cyrillic),M,t1,w1,механичар,single
hunter,serbian (cyrillic),M,t1,w1,ловац,single
firefighter,serbian (cyrillic),M,t1,w1,ватрогасац,single
dancer,indonesian,M,t1,w1,penari,single
nurse,indonesian,M,t1,w1,perawat,single
singer,indonesian,M,t1,w1,penyanyi,single
cleaner,indonesian,M,t1,w1,petugas_kebersihan,concatenated_multi
secretary,indonesian,M,t1,w1,sekretaris,single
waiter,indonesian,M,t1,w1,pelayan,single
journalist,indonesian,M,t1,w1,jurnalis,single
baker,indonesian,M,t1,w1,tukang_roti,concatenated_multi
author,indonesian,M,t1,w1,pengarang,single
athlete,indonesian,M,t1,w1,atlet,single
lawyer,indonesian,M,t1,w1,pengacara,single
doctor/physician,indonesian,M,t1,w1,dokter,single
professor,indonesian,M,t1,w1,profesor,single
governor,indonesian,M,t1,w1,gubernur,single
judge,indonesian,M,t1,w1,mengadili,single
sailor,indonesian,M,t1,w1,kelasi,single
postman/postwoman,indonesian,M,t1,w1,tukang_pos,concatenated_multi
mechanic,indonesian,M,t1,w1,montir,single
hunter,indonesian,M,t1,w1,berburu,single
firefighter,indonesian,M,t1,w1,petugas_pemadam_kebakaran,concatenated_multi
dancer,italian,M,t1,w1,ballerino,single
nurse,italian,M,t1,w1,infermiere,single
singer,italian,M,t1,w1,cantante,single
cleaner,italian,M,t1,w1,inserviente,single
secretary,italian,M,t1,w1,segretario,single
waiter,italian,M,t1,w1,cameriere,single
journalist,italian,M,t1,w1,giornalista,single
baker,italian,M,t1,w1,fornaio,single
author,italian,M,t1,w1,autore,single
athlete,italian,M,t1,w1,atleta,single
lawyer,italian,M,t1,w1,avvocato,single
doctor/physician,italian,M,t1,w1,dottore,single
professor,italian,M,t1,w1,professore,single
governor,italian,M,t1,w1,governatore,single
judge,italian,M,t1,w1,giudice,single
sailor,italian,M,t1,w1,marinaio,single
postman/postwoman,italian,M,t1,w1,postino,single
mechanic,italian,M,t1,w1,meccanico,single
hunter,italian,M,t1,w1,cacciatore,single
firefighter,italian,M,t1,w1,pompiere,single
dancer,japanese,M,t1,w1,ダンサ,single
nurse,japanese,M,t1,w1,看護師,single
singer,japanese,M,t1,w1,歌手,single
cleaner,japanese,M,t1,w1,清掃員,single
secretary,japanese,M,t1,w1,秘書,single
waiter,japanese,M,t1,w1,ウェイタ,single
journalist,japanese,M,t1,w1,記者,single
baker,japanese,M,t1,w1,パン屋,single
author,japanese,M,t1,w1,作者,single
athlete,japanese,M,t1,w1,選手,single
lawyer,japanese,M,t1,w1,弁護士,single
doctor/physician,japanese,M,t1,w1,医者,single
professor,japanese,M,t1,w1,教授,single
governor,japanese,M,t1,w1,知事,single
judge,japanese,M,t1,w1,裁判官,single
sailor,japanese,M,t1,w1,船員,single
postman/postwoman,japanese,M,t1,w1,郵便配達員,single
mechanic,japanese,M,t1,w1,メカニック,single
hunter,japanese,M,t1,w1,猟師,single
firefighter,japanese,M,t1,w1,消防士,single
dancer,dutch,M,t1,w1,danser,single
nurse,dutch,M,t1,w1,broeder,single
singer,dutch,M,t1,w1,zanger,single
cleaner,dutch,M,t1,w1,schoonmaker,single
secretary,dutch,M,t1,w1,secretaris,single
waiter,dutch,M,t1,w1,ober,single
journalist,dutch,M,t1,w1,journalist,single
baker,dutch,M,t1,w1,bakker,single
author,dutch,M,t1,w1,schrijver,single
athlete,dutch,M,t1,w1,atleet,single
lawyer,dutch,M,t1,w1,advocaat,single
doctor/physician,dutch,M,t1,w1,arts,single
professor,dutch,M,t1,w1,professor,single
governor,dutch,M,t1,w1,gouverneur,single
judge,dutch,M,t1,w1,rechter,single
sailor,dutch,M,t1,w1,zeiler,single
postman/postwoman,dutch,M,t1,w1,postbode,single
mechanic,dutch,M,t1,w1,monteur,single
hunter,dutch,M,t1,w1,jager,single
firefighter,dutch,M,t1,w1,brandweerman,single
dancer,malay,M,t1,w1,penari,single
nurse,malay,M,t1,w1,jururawat,single
singer,malay,M,t1,w1,penyanyi,single
cleaner,malay,M,t1,w1,pembersih,single
secretary,malay,M,t1,w1,setiausaha,single
waiter,malay,M,t1,w1,pelayan,single
journalist,malay,M,t1,w1,wartawan,single
baker,malay,M,t1,w1,pembakar_roti,concatenated_multi
author,malay,M,t1,w1,penulis,single
athlete,malay,M,t1,w1,atlet,single
lawyer,malay,M,t1,w1,peguam,single
doctor/physician,malay,M,t1,w1,doktor,single
professor,malay,M,t1,w1,profesor,single
governor,malay,M,t1,w1,pemerintah,single
judge,malay,M,t1,w1,hakim,single
sailor,malay,M,t1,w1,pelayar,single
postman/postwoman,malay,M,t1,w1,posmen,single
mechanic,malay,M,t1,w1,mekanik,single
hunter,malay,M,t1,w1,pemburu,single
firefighter,malay,M,t1,w1,ahli_bomba,concatenated_multi
dancer,korean,M,t1,w1,댄서,single
nurse,korean,M,t1,w1,간호사,single
singer,korean,M,t1,w1,가수,single
cleaner,korean,M,t1,w1,청소부,single
secretary,korean,M,t1,w1,비서,single
waiter,korean,M,t1,w1,종업원,single
baker,korean,M,t1,w1,제빵사,single
author,korean,M,t1,w1,작가,single
athlete,korean,M,t1,w1,선수,single
lawyer,korean,M,t1,w1,변호사,single
doctor/physician,korean,M,t1,w1,의사,single
professor,korean,M,t1,w1,교수님,single
governor,korean,M,t1,w1,지배자,single
judge,korean,M,t1,w1,판사,single
sailor,korean,M,t1,w1,선원,single
postman/postwoman,korean,M,t1,w1,우편집배원,single
mechanic,korean,M,t1,w1,정비공,single
hunter,korean,M,t1,w1,사냥꾼,single
firefighter,korean,M,t1,w1,소방관,single
dancer,norwegian,M,t1,w1,danser,single
nurse,norwegian,M,t1,w1,skyepleier,single
singer,norwegian,M,t1,w1,sanger,single
cleaner,norwegian,M,t1,w1,hushjelp,single
secretary,norwegian,M,t1,w1,sekretær,single
waiter,norwegian,M,t1,w1,oppvarter,single
journalist,norwegian,M,t1,w1,journalist,single
baker,norwegian,M,t1,w1,baker,single
author,norwegian,M,t1,w1,forfatter,single
athlete,norwegian,M,t1,w1,atlet,single
lawyer,norwegian,M,t1,w1,jurist,single
doctor/physician,norwegian,M,t1,w1,doktor,single
professor,norwegian,M,t1,w1,professor,single
governor,norwegian,M,t1,w1,guvernør,single
judge,norwegian,M,t1,w1,dommer,single
sailor,norwegian,M,t1,w1,sjømann,single
postman/postwoman,norwegian,M,t1,w1,postbud,single
mechanic,norwegian,M,t1,w1,mekaniker,single
hunter,norwegian,M,t1,w1,jeger,single
firefighter,norwegian,M,t1,w1,brannmann,single
dancer,polish,M,t1,w1,tańcerz,single
nurse,polish,M,t1,w1,pielęgniarz,single
singer,polish,M,t1,w1,śpiewasz,single
cleaner,polish,M,t1,w1,sprzątacz,single
secretary,polish,M,t1,w1,sekretarz,single
waiter,polish,M,t1,w1,kelner,single
journalist,polish,M,t1,w1,dziennikarz,single
baker,polish,M,t1,w1,piekarz,single
author,polish,M,t1,w1,pisarz,single
athlete,polish,M,t1,w1,atleta,single
lawyer,polish,M,t1,w1,prawnik,single
doctor/physician,polish,M,t1,w1,doktor,single
professor,polish,M,t1,w1,profesor,single
governor,polish,M,t1,w1,wojewoda,single
judge,polish,M,t1,w1,sędzia,single
sailor,polish,M,t1,w1,żeglarz,single
postman/postwoman,polish,M,t1,w1,listonosz,single
mechanic,polish,M,t1,w1,mechanik,single
hunter,polish,M,t1,w1,myśliwy,single
firefighter,polish,M,t1,w1,strażak,single
dancer,portuguese,M,t1,w1,dançarino,single
nurse,portuguese,M,t1,w1,enfermeiro,single
singer,portuguese,M,t1,w1,cantor,single
cleaner,portuguese,M,t1,w1,faxineiro,single
secretary,portuguese,M,t1,w1,secretário,single
waiter,portuguese,M,t1,w1,garçom,single
journalist,portuguese,M,t1,w1,jornalista,single
baker,portuguese,M,t1,w1,padeiro,single
author,portuguese,M,t1,w1,autor,single
athlete,portuguese,M,t1,w1,atleta,single
lawyer,portuguese,M,t1,w1,advogado,single
doctor/physician,portuguese,M,t1,w1,médico,single
professor,portuguese,M,t1,w1,professor,single
governor,portuguese,M,t1,w1,governador,single
judge,portuguese,M,t1,w1,juiz,single
sailor,portuguese,M,t1,w1,marinheiro,single
postman/postwoman,portuguese,M,t1,w1,carteiro,single
mechanic,portuguese,M,t1,w1,mecânico,single
hunter,portuguese,M,t1,w1,caçador,single
firefighter,portuguese,M,t1,w1,bombeiro,single
dancer,romanian,M,t1,w1,dansator,single
nurse,romanian,M,t1,w1,infirmieră,single
singer,romanian,M,t1,w1,cântăreţ,single
secretary,romanian,M,t1,w1,secretar,single
waiter,romanian,M,t1,w1,chelner,single
journalist,romanian,M,t1,w1,jurnalist,single
baker,romanian,M,t1,w1,brutar,single
author,romanian,M,t1,w1,autor,single
athlete,romanian,M,t1,w1,atlet,single
lawyer,romanian,M,t1,w1,avocat,single
doctor/physician,romanian,M,t1,w1,medic,single
professor,romanian,M,t1,w1,profesor,single
governor,romanian,M,t1,w1,guvernator,single
judge,romanian,M,t1,w1,judecător,single
sailor,romanian,M,t1,w1,marinar,single
postman/postwoman,romanian,M,t1,w1,postas,single
mechanic,romanian,M,t1,w1,maşinist,single
hunter,romanian,M,t1,w1,vânător,single
firefighter,romanian,M,t1,w1,pompier,single
dancer,swedish,M,t1,w1,dansare,single
nurse,swedish,M,t1,w1,sjukskötare,single
singer,swedish,M,t1,w1,sångare,single
cleaner,swedish,M,t1,w1,städare,single
secretary,swedish,M,t1,w1,sekreterare,single
waiter,swedish,M,t1,w1,servitör,single
journalist,swedish,M,t1,w1,journalist,single
baker,swedish,M,t1,w1,bagare,single
author,swedish,M,t1,w1,författare,single
athlete,swedish,M,t1,w1,idrottare,single
lawyer,swedish,M,t1,w1,jurist,single
doctor/physician,swedish,M,t1,w1,doktor,single
professor,swedish,M,t1,w1,professor,single
governor,swedish,M,t1,w1,guvernör,single
judge,swedish,M,t1,w1,domare,single
sailor,swedish,M,t1,w1,sjöman,single
postman/postwoman,swedish,M,t1,w1,brevbärare,single
mechanic,swedish,M,t1,w1,mekaniker,single
hunter,swedish,M,t1,w1,jägare,single
firefighter,swedish,M,t1,w1,brandman,single
dancer,tagalog,M,t1,w1,mananayaw,single
nurse,tagalog,M,t1,w1,nars,single
singer,tagalog,M,t1,w1,mang_aawit,concatenated_multi
cleaner,tagalog,M,t1,w1,katulong,single
secretary,tagalog,M,t1,w1,sekretarya,single
waiter,tagalog,M,t1,w1,serbidor,single
journalist,tagalog,M,t1,w1,peryodista,single
baker,tagalog,M,t1,w1,magtitinapay,single
author,tagalog,M,t1,w1,autor,single
athlete,tagalog,M,t1,w1,manlalaro,single
lawyer,tagalog,M,t1,w1,abogado,single
doctor/physician,tagalog,M,t1,w1,doktor,single
professor,tagalog,M,t1,w1,dalubguro,single
governor,tagalog,M,t1,w1,gobernador,single
judge,tagalog,M,t1,w1,hukom,single
sailor,tagalog,M,t1,w1,mandaragat,single
postman/postwoman,tagalog,M,t1,w1,kartero,single
mechanic,tagalog,M,t1,w1,mekaniko,single
hunter,tagalog,M,t1,w1,mangangaso,single
firefighter,tagalog,M,t1,w1,bumbero,single
dancer,turkish,M,t1,w1,dansçi,single
nurse,turkish,M,t1,w1,hemşire,single
singer,turkish,M,t1,w1,şarkıcı,single
cleaner,turkish,M,t1,w1,temizleyici,single
secretary,turkish,M,t1,w1,sekreter,single
waiter,turkish,M,t1,w1,garson,single
journalist,turkish,M,t1,w1,gazeteci,single
baker,turkish,M,t1,w1,fırıncı,single
author,turkish,M,t1,w1,yazar,single
athlete,turkish,M,t1,w1,atlet,single
lawyer,turkish,M,t1,w1,avukat,single
doctor/physician,turkish,M,t1,w1,doktor,single
professor,turkish,M,t1,w1,profesör,single
governor,turkish,M,t1,w1,vali,single
judge,turkish,M,t1,w1,hâkim,single
sailor,turkish,M,t1,w1,denizci,single
postman/postwoman,turkish,M,t1,w1,postacı,single
mechanic,turkish,M,t1,w1,makinist,single
hunter,turkish,M,t1,w1,avcı,single
firefighter,turkish,M,t1,w1,itfaiyeci,single
dancer,chinese,M,t1,w1,舞者,single
nurse,chinese,M,t1,w1,护士,single
singer,chinese,M,t1,w1,歌手,single
cleaner,chinese,M,t1,w1,保洁员,single
secretary,chinese,M,t1,w1,秘书,single
waiter,chinese,M,t1,w1,服务员,single
journalist,chinese,M,t1,w1,记者,single
baker,chinese,M,t1,w1,糕点师,single
author,chinese,M,t1,w1,作家,single
athlete,chinese,M,t1,w1,运动员,single
lawyer,chinese,M,t1,w1,律师,single
doctor/physician,chinese,M,t1,w1,医生,single
professor,chinese,M,t1,w1,教授,single
judge,chinese,M,t1,w1,法官,single
sailor,chinese,M,t1,w1,船员,single
postman/postwoman,chinese,M,t1,w1,邮递员,single
mechanic,chinese,M,t1,w1,技工,single
hunter,chinese,M,t1,w1,猎人,single
firefighter,chinese,M,t1,w1,消防员,single
dancer,zulu,M,t1,w1,umdansi,single
nurse,zulu,M,t1,w1,umhlengikazi,single
singer,zulu,M,t1,w1,umculi,single
secretary,zulu,M,t1,w1,unobhalajikelele,single
waiter,zulu,M,t1,w1,uweta,single
journalist,zulu,M,t1,w1,intatheli,single
baker,zulu,M,t1,w1,umbhaki,single
author,zulu,M,t1,w1,umenzi,single
athlete,zulu,M,t1,w1,umbaleki,single
lawyer,zulu,M,t1,w1,ummeli,single
doctor/physician,zulu,M,t1,w1,udokotela,single
professor,zulu,M,t1,w1,usolwazi,single
governor,zulu,M,t1,w1,umbusi,single
judge,zulu,M,t1,w1,umehluleli,single
sailor,zulu,M,t1,w1,itilosi,single
postman/postwoman,zulu,M,t1,w1,okuthwala_imeyili,concatenated_multi
mechanic,zulu,M,t1,w1,umakheniki,single
hunter,zulu,M,t1,w1,umzingeli,single
firefighter,zulu,M,t1,w1,umacishumlilo,single
dancer,german,M,t1,w1,tänzer,single
nurse,german,M,t1,w1,pfleger,single
singer,german,M,t1,w1,sänger,single
cleaner,german,M,t1,w1,reinigungskraft,single
secretary,german,M,t1,w1,sekretär,single
waiter,german,M,t1,w1,bedienung,single
journalist,german,M,t1,w1,journalist,single
baker,german,M,t1,w1,bäcker,single
author,german,M,t1,w1,schriftsteller,single
athlete,german,M,t1,w1,sportler,single
lawyer,german,M,t1,w1,rechtsanwalt,single
doctor/physician,german,M,t1,w1,arzt,single
professor,german,M,t1,w1,professor,single
governor,german,M,t1,w1,gouverneur,single
judge,german,M,t1,w1,richter,single
sailor,german,M,t1,w1,seemann,single
postman/postwoman,german,M,t1,w1,briefträger,single
mechanic,german,M,t1,w1,mechaniker,single
hunter,german,M,t1,w1,jäger,single
firefighter,german,M,t1,w1,feuerwehrmann,single
dancer,english,F,t1,w1,dancer,single
nurse,english,F,t1,w1,nurse,single
singer,english,F,t1,w1,singer,single
cleaner,english,F,t1,w1,cleaner,single
secretary,english,F,t1,w1,secretary,single
waiter,english,F,t1,w1,waitress,single
journalist,english,F,t1,w1,journalist,single
baker,english,F,t1,w1,baker,single
author,english,F,t1,w1,authoress,single
athlete,english,F,t1,w1,athlete,single
lawyer,english,F,t1,w1,lawyer,single
doctor/physician,english,F,t1,w1,doctor,single
professor,english,F,t1,w1,professor,single
governor,english,F,t1,w1,governor,single
judge,english,F,t1,w1,judge,single
sailor,english,F,t1,w1,sailor,single
postman/postwoman,english,F,t1,w1,postwoman,single
mechanic,english,F,t1,w1,mechanic,single
hunter,english,F,t1,w1,hunter,single
firefighter,english,F,t1,w1,firefighter,single
dancer,arabic,F,t1,w1,راقصة,single
nurse,arabic,F,t1,w1,ممرضة,single
singer,arabic,F,t1,w1,مطرب,single
cleaner,arabic,F,t1,w1,منظف,single
secretary,arabic,F,t1,w1,سكرتير,single
waiter,arabic,F,t1,w1,نادل,single
journalist,arabic,F,t1,w1,صحافي,single
baker,arabic,F,t1,w1,خباز,single
author,arabic,F,t1,w1,مؤلف,single
athlete,arabic,F,t1,w1,رياضي,single
lawyer,arabic,F,t1,w1,المحامية,single
doctor/physician,arabic,F,t1,w1,طبيب,single
professor,arabic,F,t1,w1,دكتور_جامعى,concatenated_multi
governor,arabic,F,t1,w1,محافظ_حاكم,concatenated_multi
judge,arabic,F,t1,w1,القاضي,single
sailor,arabic,F,t1,w1,بحار,single
postman/postwoman,arabic,F,t1,w1,ساعي_البريد,concatenated_multi
mechanic,arabic,F,t1,w1,الميكانيكي,single
hunter,arabic,F,t1,w1,صياد,single
firefighter,arabic,F,t1,w1,رجال_الاطفاء,concatenated_multi
dancer,danish,F,t1,w1,danserinde,single
nurse,danish,F,t1,w1,sygeplejerske,single
singer,danish,F,t1,w1,sangerinde,single
cleaner,danish,F,t1,w1,rengøringsdame,single
secretary,danish,F,t1,w1,sekratær,single
waiter,danish,F,t1,w1,tjenerinde,single
journalist,danish,F,t1,w1,journalist,single
baker,danish,F,t1,w1,bager,single
author,danish,F,t1,w1,forfatterinde,single
athlete,danish,F,t1,w1,atlet,single
lawyer,danish,F,t1,w1,advokat,single
doctor/physician,danish,F,t1,w1,læge,single
professor,danish,F,t1,w1,porfessor,single
governor,danish,F,t1,w1,guvernør,single
judge,danish,F,t1,w1,dommer,single
sailor,danish,F,t1,w1,sejler,single
